主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
職業安全衛生署,20210309,20201209,勞職授字第1090205525號,三千電器工業廠股份有限公司,職業安全衛生設施規則第43條第1項、第79條、第82條第1項暨職業安全衛生法第6條第1項,"對於機械之原動機、轉軸、齒輪、帶輪、飛輪、傳動輪、傳動帶等有危害勞工之虞之部分,未有護罩、護圍、套胴、跨橋等設備;對於滾輾橡膠、橡膠化合物、合成樹脂之滾輾機或其他具有危害之滾輾機,未設置於災害發生時,被害者能自己易於操縱之緊急制動裝置;對於射出成型機、鑄鋼造形機、打模機、橡膠加硫成型機、輪胎成型機及其他使用模具加壓成型之機械等,有危害勞工之虞者,未設置安全門,雙手操作式安全裝置、感應式安全裝置或其他安全裝置。",,
職業安全衛生署,20211206,20210129,勞職授字第11002005381號,三千電器工業廠股份有限公司,職業安全衛生法第27條第1項,與承攬人分別僱用勞工共同作業時，未設置協議組織並指定工作場所負責人擔任指揮、監督及協調之工作，未採取工作之連繫與調整之必要措施，未巡視工作場所，未指導及協助相關承攬事業間之安全衛生教育。,,
職業安全衛生署,20211206,20210129,勞職授字第1100200538號,三千電器工業廠股份有限公司,職業安全衛生法第26條第1項,事業單位以其事業之全部或一部分交付承攬時，未於事前告知該承攬人有關其事業工作環境、危害因素暨本法及有關安全衛生規定應採取之措施。,,
職業安全衛生署,20230409,20230109,勞職授字第11102071391號,三千電器工業廠股份有限公司彭春美,職業安全衛生法第37條第2項,事業單位勞動場所發生下列職業災害之一者，雇主未於八小時內通報勞動檢查機構：一、發生死亡災害。二、發生災害之罹災人數在三人以上。三、發生災害之罹災人數在一人以上，且需住院治療。四、其他經中央主管機關指定公告之災害。,,
職業安全衛生署,20230409,20230109,勞職授字第1110207139號,三千電器工業廠股份有限公司彭春美,職業安全衛生設施規則第227條第1項、第281條第2項暨職業安全衛生法第6條第1項,對勞工於以石綿板、鐵皮板、瓦、木板、茅草、塑膠等易踏穿材料構築之屋頂及雨遮，或於以礦纖板、石膏板等易踏穿材料構築之夾層天花板從事作業時，為防止勞工踏穿墜落，未規劃安全通道，於屋架、雨遮或天花板支架上設置適當強度且寬度在30公分以上之踏板。未於屋架、雨遮或天花板下方可能墜落之範圍，裝設堅固格柵或安全網等防墜設施。未指定屋頂作業主管指揮或監督該作業。對於勞工在屋頂（高度2公尺以上）移動時，未使勞工採用符合國家標準CNS?14253-1同等以上規定之全身背負式安全帶及捲揚式防墜器。,,
職業安全衛生署,20210309,20201209,勞職授字第1090205525號,三千電器工業廠股份有限公司,職業安全衛生設施規則第43條第1項、第79條、第82條第1項暨職業安全衛生法第6條第1項,"對於機械之原動機、轉軸、齒輪、帶輪、飛輪、傳動輪、傳動帶等有危害勞工之虞之部分,未有護罩、護圍、套胴、跨橋等設備;對於滾輾橡膠、橡膠化合物、合成樹脂之滾輾機或其他具有危害之滾輾機,未設置於災害發生時,被害者能自己易於操縱之緊急制動裝置;對於射出成型機、鑄鋼造形機、打模機、橡膠加硫成型機、輪胎成型機及其他使用模具加壓成型之機械等,有危害勞工之虞者,未設置安全門,雙手操作式安全裝置、感應式安全裝置或其他安全裝置。",,
職業安全衛生署,20211206,20210129,勞職授字第11002005381號,三千電器工業廠股份有限公司,職業安全衛生法第27條第1項,與承攬人分別僱用勞工共同作業時，未設置協議組織並指定工作場所負責人擔任指揮、監督及協調之工作，未採取工作之連繫與調整之必要措施，未巡視工作場所，未指導及協助相關承攬事業間之安全衛生教育。,,
職業安全衛生署,20211206,20210129,勞職授字第1100200538號,三千電器工業廠股份有限公司,職業安全衛生法第26條第1項,事業單位以其事業之全部或一部分交付承攬時，未於事前告知該承攬人有關其事業工作環境、危害因素暨本法及有關安全衛生規定應採取之措施。,,
職業安全衛生署,20230409,20230109,勞職授字第11102071391號,三千電器工業廠股份有限公司彭春美,職業安全衛生法第37條第2項,事業單位勞動場所發生下列職業災害之一者，雇主未於八小時內通報勞動檢查機構：一、發生死亡災害。二、發生災害之罹災人數在三人以上。三、發生災害之罹災人數在一人以上，且需住院治療。四、其他經中央主管機關指定公告之災害。,,
職業安全衛生署,20230409,20230109,勞職授字第1110207139號,三千電器工業廠股份有限公司彭春美,職業安全衛生設施規則第227條第1項、第281條第2項暨職業安全衛生法第6條第1項,對勞工於以石綿板、鐵皮板、瓦、木板、茅草、塑膠等易踏穿材料構築之屋頂及雨遮，或於以礦纖板、石膏板等易踏穿材料構築之夾層天花板從事作業時，為防止勞工踏穿墜落，未規劃安全通道，於屋架、雨遮或天花板支架上設置適當強度且寬度在30公分以上之踏板。未於屋架、雨遮或天花板下方可能墜落之範圍，裝設堅固格柵或安全網等防墜設施。未指定屋頂作業主管指揮或監督該作業。對於勞工在屋頂（高度2公尺以上）移動時，未使勞工採用符合國家標準CNS?14253-1同等以上規定之全身背負式安全帶及捲揚式防墜器。,,
