主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
勞動部勞工保險局,20210610,20210422,保退一字第11069911045號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,1266,
勞動部勞工保險局,20220810,20220627,保退一字第11169911065號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,1271,
勞動部勞工保險局,20221011,20220824,保退一字第11169911085號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,293,
勞動部勞工保險局,20230410,20230222,保退一字第11269911025號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,3333,
勞動部勞工保險局,20240812,20240625,保退一字第11369911065號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,254,
勞動部勞工保險局,20241011,20240827,保退一字第11369911085號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,7697,
勞動部勞工保險局,20241210,20241028,保退一字第11369911105號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,6585,
勞動部勞工保險局,20250210,20241225,保退一字第11369911125號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,6932,
勞動部勞工保險局,20210610,20210422,保退一字第11069911045號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,1266,
勞動部勞工保險局,20220810,20220627,保退一字第11169911065號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,1271,
勞動部勞工保險局,20221011,20220824,保退一字第11169911085號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,293,
勞動部勞工保險局,20230410,20230222,保退一字第11269911025號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,3333,
勞動部勞工保險局,20240812,20240625,保退一字第11369911065號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,254,
勞動部勞工保險局,20241011,20240827,保退一字第11369911085號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,7697,
勞動部勞工保險局,20241210,20241028,保退一字第11369911105號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,6585,
勞動部勞工保險局,20250210,20241225,保退一字第11369911125號,上鴻興業股份有限公司陳昭宏,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,6932,
