主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20150505,20150305,府勞動字第10338635700號,九和汽車股份有限公司宗成道,勞動基準法第24條;勞動基準法第30條第1項,延長工作時間未依規定加給工資;正常工作時間超過法令規定,,
台北市,20150505,20150323,府勞動字第10430054200號,九和汽車股份有限公司宗成道,勞動基準法第21條第1項;勞動基準法第39條,未達基本工資;假日工資未給或於休假日工作未依規定加給工資,,
台北市,20160119,20151026,府勞動字第10435564100號,九和汽車股份有限公司宗成道,勞動基準法第36條;勞動基準法第30條第1項,正常工時超過法令規定;每七日中未有一日之休息作為例假;,,
高雄市,20160120,20151118,高市勞條字第10438516100號,九和汽車股份有限公司高雄分公司,勞動基準法第24條;勞動基準法第30條第5項;勞動基準法第32條第2項;勞動基準法第39條,延長工作時間未依規定加給工資;未依規定置備勞工出勤紀錄表;延長工作時間超過法令規定;假日工資未給或於休假日工作未依規定加給工資,,
台北市,20170126,20161118,北市勞動字第10535535900號,九和汽車股份有限公司宗成道,勞動基準法第22條第2項,工資未全額給付給勞工,,
職業安全衛生署,20170210,20161202,勞職授字第1050204616號,九和汽車股份有限公司,職業安全衛生法第37條第2項,勞動場所發生死亡災害，未於8小時內通報勞動檢查機構。,,
台北市,20180903,20180718,北市勞動字第10760029661號,九和汽車股份有限公司宗成道,勞動基準法第36條第1項,未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,,
台北市,20230206,20221208,北市勞動字第11160292421號,九和汽車股份有限公司宗成道,勞動基準法第24條第2項;勞動基準法第38條第4項,未依法給付休息日工作之工資;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,70000,
台北市,20230704,20230523,府勞動字第11260089151號,九和汽車股份有限公司宗成道,勞動基準法第38條第4項,勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,100000,
台北市,20230807,20230605,府勞動字第11260693651號,九和汽車股份有限公司宗成道,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,20000,
台北市,20150505,20150305,府勞動字第10338635700號,九和汽車股份有限公司宗成道,勞動基準法第24條;勞動基準法第30條第1項,延長工作時間未依規定加給工資;正常工作時間超過法令規定,,
台北市,20150505,20150323,府勞動字第10430054200號,九和汽車股份有限公司宗成道,勞動基準法第21條第1項;勞動基準法第39條,未達基本工資;假日工資未給或於休假日工作未依規定加給工資,,
台北市,20160119,20151026,府勞動字第10435564100號,九和汽車股份有限公司宗成道,勞動基準法第36條;勞動基準法第30條第1項,正常工時超過法令規定;每七日中未有一日之休息作為例假;,,
高雄市,20160120,20151118,高市勞條字第10438516100號,九和汽車股份有限公司高雄分公司,勞動基準法第24條;勞動基準法第30條第5項;勞動基準法第32條第2項;勞動基準法第39條,延長工作時間未依規定加給工資;未依規定置備勞工出勤紀錄表;延長工作時間超過法令規定;假日工資未給或於休假日工作未依規定加給工資,,
台北市,20170126,20161118,北市勞動字第10535535900號,九和汽車股份有限公司宗成道,勞動基準法第22條第2項,工資未全額給付給勞工,,
職業安全衛生署,20170210,20161202,勞職授字第1050204616號,九和汽車股份有限公司,職業安全衛生法第37條第2項,勞動場所發生死亡災害，未於8小時內通報勞動檢查機構。,,
台北市,20180903,20180718,北市勞動字第10760029661號,九和汽車股份有限公司宗成道,勞動基準法第36條第1項,未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,,
台北市,20230206,20221208,北市勞動字第11160292421號,九和汽車股份有限公司宗成道,勞動基準法第24條第2項;勞動基準法第38條第4項,未依法給付休息日工作之工資;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,70000,
台北市,20230704,20230523,府勞動字第11260089151號,九和汽車股份有限公司宗成道,勞動基準法第38條第4項,勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,100000,
台北市,20230807,20230605,府勞動字第11260693651號,九和汽車股份有限公司宗成道,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,20000,
