主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
職業安全衛生署,20160808,20160615,勞職授字第1050202107號,仁擇營造有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6第1項,對於高度2公尺以上之外牆施工架工作臺開口部分等場所，勞工有遭受墜落危險之虞，未於施工架工作臺內側設置交叉拉桿、下拉桿等防護設備。,,
職業安全衛生署,20170603,20170309,勞職授字第1060201125號,仁擇營造有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6第1項,對於高度2公尺以上之施工架工作臺等場所，勞工有遭受墜落危險之虞，未設置內側交叉拉桿及內、外側下拉桿等防護設備。,,
職業安全衛生署,20160808,20160615,勞職授字第1050202107號,仁擇營造有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6第1項,對於高度2公尺以上之外牆施工架工作臺開口部分等場所，勞工有遭受墜落危險之虞，未於施工架工作臺內側設置交叉拉桿、下拉桿等防護設備。,,
職業安全衛生署,20170603,20170309,勞職授字第1060201125號,仁擇營造有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6第1項,對於高度2公尺以上之施工架工作臺等場所，勞工有遭受墜落危險之虞，未設置內側交叉拉桿及內、外側下拉桿等防護設備。,,
職業安全衛生署,20190109,20180919,勞職授字第1070204677號,仁擇營造有限公司,職業安全衛生法第27條第1項第1款,與承攬人共同作業時，未設置協議組織並指定工作場所負責人擔任指揮、監督及協調之工作。,,
職業安全衛生署,20190409,20181225,勞職授字第1070205934號,仁擇營造有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項,對於高度2公尺以上之外牆施工架工作臺、施工架端部、樓梯及樓板開口部分等場所，勞工有遭受墜落危險之虞者，未於該處設置護欄(外牆施工架內側交叉拉桿及內、外側下拉桿)等防護設備。,,
職業安全衛生署,20200910,20200521,勞職授字第1090202091號,仁擇營造有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項,對於高度2公尺以上之外牆施工架工作臺等場所，勞工有遭受墜落危險之虞者，未於該處施工架工作臺設置護欄(內側下拉桿)等防護設備。,,
職業安全衛生署,20210301,20201202,勞職授字第1090205330號,仁擇營造有限公司,營造安全衛生設施標準第19條第1項營造安全衛生設施標準第135條第3款暨職業安全衛生法第6條第1項,對於高度2公尺以上之外牆施工架開口部分場所作業，未於該處設置護欄、護蓋或安全網等防護設備；可調鋼管支撐於調整高度時，未以制式之金屬附屬配件為之，而以鋼筋等替代使用。,,
台中市,20210806,20210712,府授勞檢字第1100167881號,仁擇營造有限公司夏淑芳,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
職業安全衛生署,20210810,20210413,勞職授字第1100201932號,仁擇營造有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項,對於高度2公尺以上之樓梯、樓板及外牆施工架工作臺開口部分等場所，勞工有遭受墜落危險之虞，未於樓梯、樓板開口部分設置護欄，及於施工架工作臺設置護欄(內側交叉拉桿及下拉桿)等防護設備。,,
職業安全衛生署,20220501,20220223,勞職授字第1110200878號,仁擇營造有限公司夏淑芳,營造安全衛生設施標準第19條第1項職業安全衛生設施規則第228條暨職業安全衛生法第6條第1項,對於高度2公尺以上之1F施工平台(高差約2.5公尺)開口部分，未於該處設置護欄、護蓋或安全網等防護設備；對勞工於高差超過1.5公尺以上之1F施工平台場所作業時，未設置使勞工安全上下之設備,,
