主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
職業安全衛生署,20160110,20151217,勞職授字第1040204288號,仁鈺企業股份有限公司,職業安全衛生法第26條第1項,廠內鋼構遮雨棚置物區安裝工程交付承攬，未於事前告知承攬人有關鋼構遮雨棚置物區安裝作業工作環境、危害因素及有關安全衛生應採取之措施(未有書面資料可稽)。,,
職業安全衛生署,20190910,20190613,勞職授字第10802021821號,仁鈺企業股份有限公司,職業安全衛生設施規則第90條、第224條第1項、第241條、第245條、第246條暨職業安全衛生法第6條第1項,"對於固定式起重機之吊鉤防止吊舉中所吊物體脫落之裝置失效;高壓氣體鋼瓶使用時未固定;水塔平台高度2公尺以上之平台邊緣,勞工有墜落危險之虞,未設有適當強度之圍欄等防護措施;電焊機及電源開關等接點,有因接觸致發生感電之虞,未設置防止感電之護圍或絕緣被覆;設置之電焊機使用之焊接柄,絕緣防護失效;設置之移動電線未有防止絕緣被覆破壞或老化等致引起感電危害之設施。",,
職業安全衛生署,20190910,20190613,勞職授字第10802021822號,仁鈺企業股份有限公司,職業安全衛生法第24條,"設置固定式起重機吊升荷重3公噸以上,係屬中央主管機關指定之危險性設備,其操作人員未經中央主管機關認可之訓練或經技能檢定合格人員充任之。",,
職業安全衛生署,20190910,20190613,勞職授字第1080202182號,仁鈺企業股份有限公司,職業安全衛生法第16條第1項,"設置固定式起重機吊升荷重3公噸以上,係屬中央主管機關指定之危險性機械,未經勞動檢查機構或中央主管機關指定之代行檢查機構檢查合格即予使用。",,
職業安全衛生署,20191008,20190704,勞職授字第1080202596號,仁鈺企業股份有限公司,職業安全衛生設施規則第126條、第250條;機械設備器具安全標準第84條第2項暨職業安全衛生法第6條第1項,"堆高機荷重2.5公噸,其操作人員未經特殊作業安全衛生教育訓練;交流電焊機自動電擊防止裝置失效,未有自動電擊防止之功能;廠內堆高機未設置防止車輛傾倒時,駕駛者被堆高機壓傷之安全帶、護欄或其他防護設施",,
職業安全衛生署,20200506,20200221,勞職授字第1090200716號,仁鈺企業股份有限公司,職業安全衛生設施規則第224條第1項暨職業安全衛生法第6條第1項,"對於高度在二公尺以上之工作場所邊緣及開口部分,勞工有遭受墜落危險之虞者,未設有適當強度之護欄、護蓋等防護設備。",,
職業安全衛生署,20220409,20220119,勞職授字第1110200202號,仁鈺企業股份有限公司劉禎輝,職業安全衛生設施規則第241條暨職業安全衛生法第6條第1項,對於電氣機具之帶電部分?(電熱器之發熱體部分，電焊機之電極部分等，依其使用目的必須露出之帶電部分除外)?，如勞工於作業中或通行時，有因接觸?(含經由導電體而接觸者，以下同)?或接近致發生感電之虞者，未設防止感電之護圍或絕緣被覆。,,
職業安全衛生署,20240710,20240530,勞職授字第1130204657號,仁鈺企業股份有限公司劉禎輝,勞工作業環境監測實施辦法第8條第1項第2款、第4款暨職業安全衛生法第12條第3項,本法施行細則第十七條第二項第四款規定之作業場所，雇主未依下列規定，實施作業環境監測：一、…二、粉塵危害預防標準所稱之特定粉塵作業場所，應每六個月監測粉塵濃度一次以上。…四、製造、處置或使用附表二所列特定化學物質之作業場所，應每六個月監測其濃度一次以上。…。,,
職業安全衛生署,20160110,20151217,勞職授字第1040204288號,仁鈺企業股份有限公司,職業安全衛生法第26條第1項,廠內鋼構遮雨棚置物區安裝工程交付承攬，未於事前告知承攬人有關鋼構遮雨棚置物區安裝作業工作環境、危害因素及有關安全衛生應採取之措施(未有書面資料可稽)。,,
職業安全衛生署,20190910,20190613,勞職授字第10802021821號,仁鈺企業股份有限公司,職業安全衛生設施規則第90條、第224條第1項、第241條、第245條、第246條暨職業安全衛生法第6條第1項,"對於固定式起重機之吊鉤防止吊舉中所吊物體脫落之裝置失效;高壓氣體鋼瓶使用時未固定;水塔平台高度2公尺以上之平台邊緣,勞工有墜落危險之虞,未設有適當強度之圍欄等防護措施;電焊機及電源開關等接點,有因接觸致發生感電之虞,未設置防止感電之護圍或絕緣被覆;設置之電焊機使用之焊接柄,絕緣防護失效;設置之移動電線未有防止絕緣被覆破壞或老化等致引起感電危害之設施。",,
