主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台南市,20160810,20160720,府勞條字第1050733849號,儒億科技股份有限公司吳俊佶,勞動基準法第32條,延長工作時間超過法令規定。,,
台南市,20160810,20160720,府勞條字第1050733849號,儒億科技股份有限公司吳俊佶,勞動基準法第32條第2項,延長工作時間超過法令規定;,,
台南市,20190810,20190702,府勞安字第1080736068號,儒億科技股份有限公司吳俊佶,勞動基準法第32條第2項,延長工作時間超過法令規定。,,
台南市,20190510,20190326,府勞檢字第1080325308號,儒億科技股份有限公司吳俊佶,勞動基準法第32條第2項,延長工作時間超過法令規定。,,
台南市,20220311,20220216,南市勞安字第1110169158號,儒億科技股份有限公司吳俊佶,職業安全衛生法第037條第2項第3款,事業單位勞動場所發生下列職業災害之一者，雇主應於八小時內通報勞動檢查機構：三、發生災害之罹災人數在一人以上，且需住院治療。,,
台南市,20160810,20160720,府勞條字第1050733849號,儒億科技股份有限公司吳俊佶,勞動基準法第32條,延長工作時間超過法令規定。,,
台南市,20160810,20160720,府勞條字第1050733849號,儒億科技股份有限公司吳俊佶,勞動基準法第32條第2項,延長工作時間超過法令規定;,,
台南市,20190810,20190702,府勞安字第1080736068號,儒億科技股份有限公司吳俊佶,勞動基準法第32條第2項,延長工作時間超過法令規定。,,
台南市,20190510,20190326,府勞檢字第1080325308號,儒億科技股份有限公司吳俊佶,勞動基準法第32條第2項,延長工作時間超過法令規定。,,
台南市,20220311,20220216,南市勞安字第1110169158號,儒億科技股份有限公司吳俊佶,職業安全衛生法第037條第2項第3款,事業單位勞動場所發生下列職業災害之一者，雇主應於八小時內通報勞動檢查機構：三、發生災害之罹災人數在一人以上，且需住院治療。,,
