主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
科技部新竹科學園區,20170905,20170627,竹環字第1060017636號,優你康光學股份有限公司,勞動基準法第32條第2項,雇主延長勞工當日正常工時連同延長工作時間超過12小時，一個月不得超過46小時,,
科技部新竹科學園區,20180403,20180221,竹環字第1070006357號,優你康光學股份有限公司劉溪鶴,職業安全衛生設施規則第57條第1項,對於機械之掃除、上油、檢查、修理或調整有導致危害勞工之虞者，未停止相關機械運轉及送料。,,
科技部新竹科學園區,20180505,20180312,竹環字第1070008181號,優你康光學股份有限公司,勞動基準法第36條第1項,每七日未有一日休息為例假,,
科技部新竹科學園區,20180705,20180528,竹環字第1070016017號,優你康光學股份有限公司,勞動基準法第32條第2項,延長勞工工作時間超過四十六小時,,
科技部新竹科學園區,20180705,20180528,竹環字第1070016017號,優你康光學股份有限公司,勞動基準法第36條第2項,每七日中未有一日之例假,,
科技部新竹科學園區,20200305,20200305,竹環字第1090006626號,優你康光學股份有限公司,勞動基準法第32條第2項,延長工作時間超過46小時,,
科技部新竹科學園區,20211105,20210916,竹環字第1100027530號,優你康光學股份有限公司林明政,勞動基準法第32條第2項,延長工時超過法令規定。,50000,
科技部新竹科學園區,20211105,20210916,竹環字第1100027530號,優你康光學股份有限公司林明政,勞動基準法第36條第1項,勞工每七日中應有二日之休息，其中一日為例假，一日為休息日。,50000,
科技部新竹科學園區,20170905,20170627,竹環字第1060017636號,優你康光學股份有限公司,勞動基準法第32條第2項,雇主延長勞工當日正常工時連同延長工作時間超過12小時，一個月不得超過46小時,,
科技部新竹科學園區,20180403,20180221,竹環字第1070006357號,優你康光學股份有限公司劉溪鶴,職業安全衛生設施規則第57條第1項,對於機械之掃除、上油、檢查、修理或調整有導致危害勞工之虞者，未停止相關機械運轉及送料。,,
科技部新竹科學園區,20180505,20180312,竹環字第1070008181號,優你康光學股份有限公司,勞動基準法第36條第1項,每七日未有一日休息為例假,,
科技部新竹科學園區,20180705,20180528,竹環字第1070016017號,優你康光學股份有限公司,勞動基準法第32條第2項,延長勞工工作時間超過四十六小時,,
科技部新竹科學園區,20180705,20180528,竹環字第1070016017號,優你康光學股份有限公司,勞動基準法第36條第2項,每七日中未有一日之例假,,
科技部新竹科學園區,20200305,20200305,竹環字第1090006626號,優你康光學股份有限公司,勞動基準法第32條第2項,延長工作時間超過46小時,,
科技部新竹科學園區,20211105,20210916,竹環字第1100027530號,優你康光學股份有限公司林明政,勞動基準法第32條第2項,延長工時超過法令規定。,50000,
科技部新竹科學園區,20211105,20210916,竹環字第1100027530號,優你康光學股份有限公司林明政,勞動基準法第36條第1項,勞工每七日中應有二日之休息，其中一日為例假，一日為休息日。,50000,
