主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20161031,20160805,北市勞動字第10535376200號,力泰建設企業股份有限公司吳良材,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,,
台北市,20170801,20170623,北市勞職字第10635256400號,力泰建設企業股份有限公司,職業安全衛生設施規則第224條第1項暨職業安全衛生法第6條第1項第5款。,於高度2公尺以上之工作場所開口部分，未設置圍欄，使勞工有墜落之虞。,,
台北市,20161031,20160805,北市勞動字第10535376200號,力泰建設企業股份有限公司吳良材,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,,
台北市,20170801,20170623,北市勞職字第10635256400號,力泰建設企業股份有限公司,職業安全衛生設施規則第224條第1項暨職業安全衛生法第6條第1項第5款。,於高度2公尺以上之工作場所開口部分，未設置圍欄，使勞工有墜落之虞。,,
新北市,20180615,20180425,新北府勞檢字第1073562201號,力泰建設企業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20191031,20190715,新北府勞檢字第1084266772號,力泰建設企業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20210219,20201109,新北府勞檢字第10947983041號,力泰建設企業股份有限公司吳良材,勞動基準法第32條第2項,延長工作時間超過法令規定,240000,
新北市,20210219,20201109,新北府勞檢字第10947983042號,力泰建設企業股份有限公司吳良材,勞動基準法第36條第1項,勞工每七日中應有二日之休息，其中一日為例假，一日為休息日,48000,
新北市,20210219,20201109,新北府勞檢字第1094798304號,力泰建設企業股份有限公司吳良材,勞動基準法第24條,延長工作時間未依規定加給工資,48000,
新北市,20210820,20210617,新北府勞檢字第11047286821號,力泰建設企業股份有限公司吳良材,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,48000,
新北市,20210820,20210617,新北府勞檢字第1104728682號,力泰建設企業股份有限公司吳良材,勞動基準法第24條,延長工作時間未依規定加給工資,96000,
新北市,20220617,20220302,新北府勞檢字第11147353111號,力泰建設企業股份有限公司吳良材,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,96000,
新北市,20220617,20220302,新北府勞檢字第1114735311號,力泰建設企業股份有限公司吳良材,勞動基準法第24條,延長工作時間未依規定加給工資,144000,
新北市,20231215,20231030,新北府勞檢字第11246843081號,力泰建設企業股份有限公司吳良材,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,144000,
新北市,20231215,20231030,新北府勞檢字第1124684308號,力泰建設企業股份有限公司吳良材,勞動基準法第24條,延長工作時間未依規定加給工資,240000,
