主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
新北市,20160823,20130927,北府勞檢字第10232110971號,北基國際股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
職業安全衛生署,20200103,20191015,勞職授字第1080204400號,北基國際股份有限公司,職業安全衛生設施規則第95條暨職業安全衛生法第6條第1項,對於升降機之升降路各樓出入口門，未有連鎖裝置，使搬器地板與樓板相差7.5公分以上時，升降路出入口門不能開啟之。,,
桃園市,20200506,20200324,109年府勞檢字1090069322號,北基國際股份有限公司鍾嘉村,勞基法第23條第1項,工資未依約定或規定方式給付,,
新北市,20211015,20210726,新北府勞檢字第1104732675號,北基國際股份有限公司鍾嘉村,勞動基準法第35條,繼續工作四小時未有三十分鐘休息,20000,
桃園市,20220209,20211202,110年府勞檢字1100315571號,北基國際股份有限公司鍾嘉村,勞基法第35條,雇主使勞工繼續工作四小時未給與至少三十分鐘之休息，且無本法第三十五條但書情形,20000,
新北市,20230421,20221230,新北府勞業字第1111610756號,北基國際股份有限公司鍾嘉村,性別工作平等法第13條第2項,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,,
高雄市,20220708,20220519,高市勞條字第11133846200號,北基國際股份有限公司鍾嘉村,勞動基準法第32條第2項,延長工作時間超過法令規定,50000,
高雄市,20250305,20250108,高市勞條字第11340405200號,北基國際股份有限公司鍾嘉村,勞動基準法第32條第2項,延長工作時間超過法令規定。,50000,
新北市,20160823,20130927,北府勞檢字第10232110971號,北基國際股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
職業安全衛生署,20200103,20191015,勞職授字第1080204400號,北基國際股份有限公司,職業安全衛生設施規則第95條暨職業安全衛生法第6條第1項,對於升降機之升降路各樓出入口門，未有連鎖裝置，使搬器地板與樓板相差7.5公分以上時，升降路出入口門不能開啟之。,,
桃園市,20200506,20200324,109年府勞檢字1090069322號,北基國際股份有限公司鍾嘉村,勞基法第23條第1項,工資未依約定或規定方式給付,,
新北市,20211015,20210726,新北府勞檢字第1104732675號,北基國際股份有限公司鍾嘉村,勞動基準法第35條,繼續工作四小時未有三十分鐘休息,20000,
桃園市,20220209,20211202,110年府勞檢字1100315571號,北基國際股份有限公司鍾嘉村,勞基法第35條,雇主使勞工繼續工作四小時未給與至少三十分鐘之休息，且無本法第三十五條但書情形,20000,
新北市,20230421,20221230,新北府勞業字第1111610756號,北基國際股份有限公司鍾嘉村,性別工作平等法第13條第2項,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,,
高雄市,20220708,20220519,高市勞條字第11133846200號,北基國際股份有限公司鍾嘉村,勞動基準法第32條第2項,延長工作時間超過法令規定,50000,
新北市,20250421,20250218,新北府勞檢字第11446643411號,北基國際股份有限公司鍾嘉村,勞動基準法第36條第2項,未給予勞工例假休息,50000,
新北市,20250421,20250218,新北府勞檢字第1144664341號,北基國際股份有限公司鍾嘉村,勞動基準法第32條第2項,延長工作時間超過法令規定,50000,
高雄市,20250305,20250108,高市勞條字第11340405200號,北基國際股份有限公司鍾嘉村,勞動基準法第32條第2項,延長工作時間超過法令規定。,50000,
