主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20220207,20211203,北市勞動字第11060258841號,北歐三狗有限公司翁文倩,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,20000,勞動部110年度工讀生與部分工時勞工勞動條件專案
台北市,20220207,20211203,北市勞動字第11060258841號,北歐三狗有限公司翁文倩,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,20000,勞動部110年度工讀生與部分工時勞工勞動條件專案
台北市,20221104,20220919,北市勞動字第11160285811號,北歐三狗有限公司翁文倩,勞動基準法第24條第2項,未依法給付休息日工作之工資,20000,勞動部111年度工讀生與部分工時勞工勞動條件專案
台北市,20221104,20220919,北市勞動字第11160285811號,北歐三狗有限公司翁文倩,勞動基準法第24條第2項,未依法給付休息日工作之工資,20000,勞動部111年度工讀生與部分工時勞工勞動條件專案
台北市,20250305,20250102,北市勞動字第11360279571號,北歐三狗有限公司翁文倩,勞動基準法第80條,拒絕、規避或阻撓勞工檢查員依法執行職務,30000,
台北市,20220207,20211203,北市勞動字第11060258841號,北歐三狗有限公司翁文倩,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,20000,勞動部110年度工讀生與部分工時勞工勞動條件專案
台北市,20220207,20211203,北市勞動字第11060258841號,北歐三狗有限公司翁文倩,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,20000,勞動部110年度工讀生與部分工時勞工勞動條件專案
台北市,20221104,20220919,北市勞動字第11160285811號,北歐三狗有限公司翁文倩,勞動基準法第24條第2項,未依法給付休息日工作之工資,20000,勞動部111年度工讀生與部分工時勞工勞動條件專案
台北市,20221104,20220919,北市勞動字第11160285811號,北歐三狗有限公司翁文倩,勞動基準法第24條第2項,未依法給付休息日工作之工資,20000,勞動部111年度工讀生與部分工時勞工勞動條件專案
台北市,20250305,20250102,北市勞動字第11360279571號,北歐三狗有限公司翁文倩,勞動基準法第80條,拒絕、規避或阻撓勞工檢查員依法執行職務,30000,
