主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
勞動部勞工保險局,20210412,20210224,保退一字第11069911025號,千松科技有限公司楊宸瑋,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,7238,
勞動部勞工保險局,20210810,20210624,保退一字第11069911065號,千松科技有限公司楊宸瑋,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,2177,
勞動部勞工保險局,20220610,20220427,保退一字第11169911045號,千松科技有限公司楊宸瑋,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,953,
勞動部勞工保險局,20221212,20221026,保退一字第11169911105號,千松科技有限公司楊宸瑋,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,843,
勞動部勞工保險局,20240611,20240425,保退一字第11369911045號,千松科技有限公司黃莉蓁,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,145,
勞動部勞工保險局,20241210,20241028,保退一字第11369911105號,千松科技有限公司黃莉蓁,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,3992,
勞動部勞工保險局,20250210,20241225,保退一字第11369911125號,千松科技有限公司黃莉蓁,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,399,
勞動部勞工保險局,20210412,20210224,保退一字第11069911025號,千松科技有限公司楊宸瑋,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,7238,
勞動部勞工保險局,20210810,20210624,保退一字第11069911065號,千松科技有限公司楊宸瑋,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,2177,
勞動部勞工保險局,20220610,20220427,保退一字第11169911045號,千松科技有限公司楊宸瑋,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,953,
勞動部勞工保險局,20221212,20221026,保退一字第11169911105號,千松科技有限公司楊宸瑋,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,843,
勞動部勞工保險局,20240611,20240425,保退一字第11369911045號,千松科技有限公司黃莉蓁,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,145,
勞動部勞工保險局,20241210,20241028,保退一字第11369911105號,千松科技有限公司黃莉蓁,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,3992,
勞動部勞工保險局,20250210,20241225,保退一字第11369911125號,千松科技有限公司黃莉蓁,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,399,
