主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20151005,20150807,府勞動字第10435033200號,和昇休閒開發股份有限公司禹介民,勞動基準法第32條第2項,延長工作時間超過法令規定,,
台北市,20151005,20150821,府勞資字第10434569000號,和昇休閒開發股份有限公司禹介民,勞動基準法第70條,雇主應訂立工作規則報請主管機關核備,,
新北市,20170218,20161206,新北府勞檢字第10534721181號,和昇休閒開發股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,,
新北市,20170218,20161206,新北府勞檢字第1053472118號,和昇休閒開發股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
台北市,20180601,20180420,北市勞動字第10731395100號,和昇休閒開發股份有限公司禹介民,勞動基準法第22條第2項,工資未全額給付給勞工,,
台北市,20180903,20180713,北市勞動字第10760026821號,和昇休閒開發股份有限公司禹介民,勞動基準法第16條第3項;勞動基準法第23條第1項,未依法給付預告期間之工資;工資未定期給付勞工，或未提供工資各項目計算方式明細,,
台北市,20151005,20150807,府勞動字第10435033200號,和昇休閒開發股份有限公司禹介民,勞動基準法第32條第2項,延長工作時間超過法令規定,,
台北市,20151005,20150807,府勞動字第10435033200號,和昇休閒開發股份有限公司禹介民,勞動基準法第32條第2項,延長工作時間超過法令規定,,
台北市,20151005,20150821,府勞資字第10434569000號,和昇休閒開發股份有限公司禹介民,勞動基準法第70條,雇主應訂立工作規則報請主管機關核備,,
新北市,20170218,20161206,新北府勞檢字第10534721181號,和昇休閒開發股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,,
新北市,20170218,20161206,新北府勞檢字第1053472118號,和昇休閒開發股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
台北市,20180601,20180420,北市勞動字第10731395100號,和昇休閒開發股份有限公司禹介民,勞動基準法第22條第2項,工資未全額給付給勞工,,
台北市,20180903,20180713,北市勞動字第10760026821號,和昇休閒開發股份有限公司禹介民,勞動基準法第16條第3項;勞動基準法第23條第1項,未依法給付預告期間之工資;工資未定期給付勞工，或未提供工資各項目計算方式明細,,
