主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
勞動部勞工保險局,20231011,20230824,保退一字第11269911085號,和豐再生能源股份有限公司郭明昌,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,15520,
勞動部勞工保險局,20231211,20231026,保退一字第11269911105號,和豐再生能源股份有限公司郭明昌,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,17910,
勞動部勞工保險局,20240215,20231221,保退一字第11269911125號,和豐再生能源股份有限公司郭明昌,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,9105,
勞動部勞工保險局,20240410,20240226,保退一字第11369911025號,和豐再生能源股份有限公司郭明昌,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,46924,
勞動部勞工保險局,20240611,20240425,保退一字第11369911045號,和豐再生能源股份有限公司郭明昌,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,25764,
勞動部勞工保險局,20240812,20240625,保退一字第11369911065號,和豐再生能源股份有限公司郭明昌,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,32969,
台南市,20240510,20240327,南市勞安字第1130429919號,和豐再生能源股份有限公司郭明昌,勞動基準法第30條第6項,未逐日記載勞工出勤情形至分鐘為止。,20000,
勞動部勞工保險局,20231011,20230824,保退一字第11269911085號,和豐再生能源股份有限公司郭明昌,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,15520,
勞動部勞工保險局,20231211,20231026,保退一字第11269911105號,和豐再生能源股份有限公司郭明昌,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,17910,
勞動部勞工保險局,20240215,20231221,保退一字第11269911125號,和豐再生能源股份有限公司郭明昌,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,9105,
勞動部勞工保險局,20240410,20240226,保退一字第11369911025號,和豐再生能源股份有限公司郭明昌,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,46924,
勞動部勞工保險局,20240611,20240425,保退一字第11369911045號,和豐再生能源股份有限公司郭明昌,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,25764,
勞動部勞工保險局,20240812,20240625,保退一字第11369911065號,和豐再生能源股份有限公司郭明昌,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,32969,
台南市,20240510,20240327,南市勞安字第1130429919號,和豐再生能源股份有限公司郭明昌,勞動基準法第30條第6項,未逐日記載勞工出勤情形至分鐘為止。,20000,
