主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20181101,20180828,北市勞職字第10760557981號,員邦室內裝修設計股份有限公司,1.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款;2.營造安全衛生設施標準第46條第1項第2款暨職業安全衛生法第6條第1項第5款;3.職業安全衛生法第27條第1項第4款,1.有墜落危險之處所未設防護設備。;2.施工架上物料運送、儲存及荷重分配未依規定辦理。;3.原事業單位未採取承攬管理必要措施。,,
台北市,20190201,20181116,北市勞職字第10760719211號,員邦室內裝修設計股份有限公司,1.職業安全衛生法第27條第1項第4款;2.職業安全衛生教育訓練規則第16條第1項暨職業安全衛生法第32條第1項,1.原事業單位未採取承攬管理必要措施。;2.未施以必要安全衛生教育及訓練。,,
台北市,20190502,20190211,北市勞職字第10860074541號,員邦室內裝修設計股份有限公司,職業安全衛生法第27條第1項第1、2、3款,原事業單位未採取承攬管理必要措施。,,
台北市,20191005,20190705,北市勞職字第10860371971,員邦室內裝修設計股份有限公司,職業安全衛生法第27條第1項第1、2、3款,原事業單位未採取承攬管理必要措施。,,
台北市,20220304,20211203,北市勞職字第11061188313號,員邦室內裝修設計股份有限公司曹來旺,職業安全衛生設施規則第128-1條第7款暨職業安全衛生法第6條第1項5款,高空工作車作業未依規定辦理。,,
台北市,20181101,20180828,北市勞職字第10760557981號,員邦室內裝修設計股份有限公司,1.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款;2.營造安全衛生設施標準第46條第1項第2款暨職業安全衛生法第6條第1項第5款;3.職業安全衛生法第27條第1項第4款,1.有墜落危險之處所未設防護設備。;2.施工架上物料運送、儲存及荷重分配未依規定辦理。;3.原事業單位未採取承攬管理必要措施。,,
台北市,20190201,20181116,北市勞職字第10760719211號,員邦室內裝修設計股份有限公司,1.職業安全衛生法第27條第1項第4款;2.職業安全衛生教育訓練規則第16條第1項暨職業安全衛生法第32條第1項,1.原事業單位未採取承攬管理必要措施。;2.未施以必要安全衛生教育及訓練。,,
台北市,20190502,20190211,北市勞職字第10860074541號,員邦室內裝修設計股份有限公司,職業安全衛生法第27條第1項第1、2、3款,原事業單位未採取承攬管理必要措施。,,
台北市,20191005,20190705,北市勞職字第10860371971,員邦室內裝修設計股份有限公司,職業安全衛生法第27條第1項第1、2、3款,原事業單位未採取承攬管理必要措施。,,
台北市,20220304,20211203,北市勞職字第11061188313號,員邦室內裝修設計股份有限公司曹來旺,職業安全衛生設施規則第128-1條第7款暨職業安全衛生法第6條第1項5款,高空工作車作業未依規定辦理。,,
