主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
新北市,20200221,20191206,新北府勞檢字第10842863411號,喬翰科技有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20200221,20191206,新北府勞檢字第10842863412號,喬翰科技有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20200221,20191206,新北府勞檢字第10842863413號,喬翰科技有限公司,勞動基準法第36條第1項,每七日中未有一日之休息作為例假,,
新北市,20200221,20191206,新北府勞檢字第10842863414號,喬翰科技有限公司,勞動基準法第38條第1項,未依規定給予特別休假,,
新北市,20200221,20191206,新北府勞檢字第1084286341號,喬翰科技有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,,
新北市,20200221,20191206,新北府勞檢字第10842863411號,喬翰科技有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20200221,20191206,新北府勞檢字第10842863412號,喬翰科技有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20200221,20191206,新北府勞檢字第10842863413號,喬翰科技有限公司,勞動基準法第36條第1項,每七日中未有一日之休息作為例假,,
新北市,20200221,20191206,新北府勞檢字第10842863414號,喬翰科技有限公司,勞動基準法第38條第1項,未依規定給予特別休假,,
新北市,20200221,20191206,新北府勞檢字第1084286341號,喬翰科技有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,,
