主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台東縣,20190425,20190425,府社勞字第1080083933號,嘉鴻鋼鐵有限公司代表人:蕭錦銘君,勞動基準法第23條第2項,勞工工資清冊未詳列各項目計算方式,,
台東縣,20190425,20190425,府社勞字第1080083933號,嘉鴻鋼鐵有限公司蕭錦銘君,勞動基準法第23條第2項,勞工工資清冊未詳列各項目計算方式,,
職業安全衛生署,20190708,20190427,勞職授字第10802017021號,嘉鴻鋼鐵有限公司,職業安全衛生法第24條,經中央主管機關指定具危險性設備之操作人員，雇主未僱用經中央主管機關認可之訓練或經技能檢定之合格人員充任之。,,
職業安全衛生署,20190708,20190427,勞職授字第10802017022號,嘉鴻鋼鐵有限公司,職業安全衛生設施規則第90條職業安全衛生設施規則第280條暨職業安全衛生法第6條第1項,對於起重機具之吊鉤或吊具未有防止吊舉中所吊物體脫落之裝置；對於作業中有物體飛落或飛散，致危害勞工之虞時，未置備有適當之安全帽及其他防護。,,
職業安全衛生署,20190708,20190427,勞職授字第1080201702號,嘉鴻鋼鐵有限公司,職業安全衛生法第16條第1項,未對於中央主管機關指定具有危險性設備，非經勞動檢查機構或中央主管機關指定之代行檢查機構檢查合格，不得使用。,,
台東縣,20190425,20190425,府社勞字第1080083933號,嘉鴻鋼鐵有限公司代表人:蕭錦銘君,勞動基準法第23條第2項,勞工工資清冊未詳列各項目計算方式,,
台東縣,20190425,20190425,府社勞字第1080083933號,嘉鴻鋼鐵有限公司蕭錦銘君,勞動基準法第23條第2項,勞工工資清冊未詳列各項目計算方式,,
職業安全衛生署,20190708,20190427,勞職授字第10802017021號,嘉鴻鋼鐵有限公司,職業安全衛生法第24條,經中央主管機關指定具危險性設備之操作人員，雇主未僱用經中央主管機關認可之訓練或經技能檢定之合格人員充任之。,,
職業安全衛生署,20190708,20190427,勞職授字第10802017022號,嘉鴻鋼鐵有限公司,職業安全衛生設施規則第90條職業安全衛生設施規則第280條暨職業安全衛生法第6條第1項,對於起重機具之吊鉤或吊具未有防止吊舉中所吊物體脫落之裝置；對於作業中有物體飛落或飛散，致危害勞工之虞時，未置備有適當之安全帽及其他防護。,,
職業安全衛生署,20190708,20190427,勞職授字第1080201702號,嘉鴻鋼鐵有限公司,職業安全衛生法第16條第1項,未對於中央主管機關指定具有危險性設備，非經勞動檢查機構或中央主管機關指定之代行檢查機構檢查合格，不得使用。,,
