主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
新北市,20171011,20170823,新北府勞檢字第10635783751號,大江運輸有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,,
新北市,20171011,20170823,新北府勞檢字第10635783752號,大江運輸有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20171011,20170823,新北府勞檢字第1063578375號,大江運輸有限公司,勞動基準法第30條第6項,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,,
新北市,20181015,20180705,新北府勞檢字第10735720031號,大江運輸有限公司,勞動基準法第36條第1項,每七日中未有一日之休息作為例假,,
新北市,20181015,20180705,新北府勞檢字第10735720032號,大江運輸有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20181015,20180705,新北府勞檢字第1073572003號,大江運輸有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20210416,20210217,新北府勞檢字第1104713827號,大江運輸有限公司黃義豪,勞動基準法第24條,延長工作時間未依規定加給工資,20000,
新北市,20210416,20210217,新北府勞檢字第1104713827號,大江運輸有限公司黃義豪,勞動基準法第24條,延長工作時間未依規定加給工資,20000,
新北市,20171011,20170823,新北府勞檢字第10635783751號,大江運輸有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,,
新北市,20171011,20170823,新北府勞檢字第10635783752號,大江運輸有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20171011,20170823,新北府勞檢字第1063578375號,大江運輸有限公司,勞動基準法第30條第6項,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,,
新北市,20181015,20180705,新北府勞檢字第10735720031號,大江運輸有限公司,勞動基準法第36條第1項,每七日中未有一日之休息作為例假,,
新北市,20181015,20180705,新北府勞檢字第10735720032號,大江運輸有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20181015,20180705,新北府勞檢字第1073572003號,大江運輸有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20210416,20210217,新北府勞檢字第1104713827號,大江運輸有限公司黃義豪,勞動基準法第24條,延長工作時間未依規定加給工資,20000,
新北市,20210416,20210217,新北府勞檢字第1104713827號,大江運輸有限公司黃義豪,勞動基準法第24條,延長工作時間未依規定加給工資,20000,
