主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
職業安全衛生署,20160110,20151201,勞職授字第1040203946號,好市多股份有限公司,職業安全衛生設施規則第159條第1項第6款暨職業安全衛生第6條第1項,對物料之堆放妨礙消防器具之緊急使用。,,
新北市,20180420,20160503,新北府勞檢字第1053442983號,好市多股份有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,,
高雄市,20160922,20160729,高市勞條字第10536093400號,好市多股份有限公司,勞動基準法第30條第6項,出勤紀錄未記載至分鐘為止,,
新北市,20170419,20170221,新北府勞檢字第1063555733號,好市多股份有限公司,勞動基準法第30條第6項,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,,
職業安全衛生署,20170420,20170210,勞職授字第1060200498號,好市多股份有限公司,職業安全衛生法第26條第1項,將工程交付承攬時，未於事前告知該承攬人有關其事業工作環境、危害因素暨本法及有關安全衛生規定應採取之措施。,,
職業安全衛生署,20170420,20170210,勞職授字第1060200499號,好市多股份有限公司,職業安全衛生法第27條第1項,與承攬人分別僱用勞工共同作業時，未設置協議組織，並指定工作場所負責人，擔任指揮、監督及協調之工作，未實施工作上之連繫與調整，未確實巡視工作場所。,,
職業安全衛生署,20171121,20170215,勞職授字第1060200600號,好市多股份有限公司,職業安全衛生設施規則第287條、第299條第1項及鍋爐及壓力容器安全規則第30條第1項暨職業安全衛生法第6條第1項,低溫之場所作業，未使勞工確實使用安全衛生防護具、對處置大量低溫物體之場所未於明顯易見之處所設置警告標示牌、對於壓力容器(空壓機)其壓力表之刻度板上未明顯標示最高使用壓力之位置。,,
職業安全衛生署,20191106,20190808,勞職授字第1080203421號,好市多股份有限公司,職業安全衛生設施規則第116條暨職業安全衛生法第6條第1項,"使勞工搭載於堆高機之貨叉所承載貨物之托板、撬板及其他堆高機（乘坐席以外）部分。且堆高機於駕駛者離開其位置時,未採將貨叉等放置於地面。",,
高雄市,20200408,20190902,高市勞檢字第10871641600號,好市多股份有限公司,職業安全衛生法第6條第1項第3款,對勞工於作業中，有接觸絕緣被覆配線，未有防止絕緣被覆破壞或老化等致引起感電危害之設施。,,
台北市,20200605,20200416,北市勞動字第10960016961號,好市多股份有限公司趙建華,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,,
新北市,20200622,20200417,新北府勞檢字第1094771675號,好市多股份有限公司,勞動基準法第30條第6項,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,,
台北市,20220105,20211025,北市勞職字第11061014881號,好市多股份有限公司內湖分公司趙建華,職業安全衛生設施規則第116條第10、2款暨職業安全衛生法第6條第1項1、5款,車輛機械未依規定辦理。,,
台南市,20210510,20210406,南市勞安字1100413127號,好市多股份有限公司趙建華,勞動基準法第9條;勞動基準法第59條,違反規定訂定定期契約;未依規定給予勞工職業災害補償。,40000,
桃園市,20220103,20211116,110年府勞檢字1100291410號,好市多股份有限公司趙建華,勞工退休金條例第12條第1項,雇主未依規定標準發給勞工退休金條例工作年資之資遣費。,300000,
桃園市,20220103,20211116,110年府勞檢字1100291410號,好市多股份有限公司趙建華,勞工退休金條例第12條第1項,雇主未依規定標準發給勞工退休金條例工作年資之資遣費。,300000,
新北市,20220819,20220506,新北府勞檢字第1114743613號,好市多股份有限公司趙建華,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表,100000,
新北市,20220819,20220506,新北府勞檢字第1114743613號,好市多股份有限公司趙建華,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表,100000,
台北市,20230306,20230112,府勞動字第11160293101號,好市多股份有限公司趙建華,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,100000,
台北市,20230306,20230112,府勞動字第11160293101號,好市多股份有限公司趙建華,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,100000,
職業安全衛生署,20231107,20230828,勞職授字第1120203928號,好市多股份有限公司趙建華,職業安全衛生設施規則第297條暨職業安全衛生法第6條第1項,對於有害物之物品，未妥為儲存，並加警告標示，致發生勞工化學性灼傷。,,
高雄市,20230731,20230630,高市勞檢字第11271202600號,好市多股份有限公司趙建華,職業安全衛生法第6條第1項第1款,對於勞工從事注餡機組裝作業，有導致危害勞工之虞者，未依規定停止相關機械運轉及送料，致勞工被夾受傷之職業災害。,,
桃園市,20240705,20240409,113年府勞條字1130085951號,好市多股份有限公司趙建華,性別平等工作法第21條,生理假遭不利處分,20000,無
職業安全衛生署,20241215,20241126,勞職授字第1130207212A號,好市多股份有限公司趙建華,職業安全衛生法第27條第1項第1款、第2款、第3款,與承攬人分別僱用勞工共同作業時，未設置協議組織並指定工作場所負責人擔任指揮、監督及協調之工作、未採取工作之連繫與調整之必要措施、未巡視工作場所。,,職業災害
職業安全衛生署,20241215,20241126,勞職授字第1130207212號,好市多股份有限公司趙建華,職業安全衛生法第26條第1項,以其事業之全部或一部分交付承攬時，未於事前告知該承攬人有關其事業工作環境、危害因素暨職業安全衛生法及有關安全衛生規定應採取之措施。,,職業災害
