主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
桃園市,20190806,20190619,108年府勞條字10801342201號,富通公寓大廈管理維護股份有限公司李鎮杰,勞基法第30條第6項,未逐日記載勞工出勤情形至分鐘為止,,
桃園市,20190806,20190619,108年府勞條字10801342202號,富通公寓大廈管理維護股份有限公司李鎮杰,勞基法第36條第1項,每7日中未有2日之休息作為例假及休息日,,
桃園市,20190806,20190619,108年府勞條字10801342203號,富通公寓大廈管理維護股份有限公司李鎮杰,勞基法第39條,例假、休息日、第37條所定之休假及特別休假未依規定加給工資,,
桃園市,20190806,20190619,108年府勞條字1080134220號,富通公寓大廈管理維護股份有限公司李鎮杰,勞基法第22條第2項,工資未全額直接給付勞工,,
勞動部勞工保險局,20210217,20201207,保退二字第10960280410號,富通公寓大廈管理維護股份有限公司李鎮杰,勞工退休金條例第15條第2項,雇主未依規定覈實申報調整勞工退休金提繳工資。,5000,
桃園市,20190806,20190619,108年府勞條字10801342201號,富通公寓大廈管理維護股份有限公司李鎮杰,勞基法第30條第6項,未逐日記載勞工出勤情形至分鐘為止,,
桃園市,20190806,20190619,108年府勞條字10801342202號,富通公寓大廈管理維護股份有限公司李鎮杰,勞基法第36條第1項,每7日中未有2日之休息作為例假及休息日,,
桃園市,20190806,20190619,108年府勞條字10801342203號,富通公寓大廈管理維護股份有限公司李鎮杰,勞基法第39條,例假、休息日、第37條所定之休假及特別休假未依規定加給工資,,
桃園市,20190806,20190619,108年府勞條字1080134220號,富通公寓大廈管理維護股份有限公司李鎮杰,勞基法第22條第2項,工資未全額直接給付勞工,,
勞動部勞工保險局,20210217,20201207,保退二字第10960280410號,富通公寓大廈管理維護股份有限公司李鎮杰,勞工退休金條例第15條第2項,雇主未依規定覈實申報調整勞工退休金提繳工資。,5000,
