主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
勞動部勞工保險局,20240215,20231221,保退一字第11269911125號,展旺企業股份有限公司吳宜達,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,25644,
勞動部勞工保險局,20240410,20240226,保退一字第11369911025號,展旺企業股份有限公司吳宜達,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,67597,
勞動部勞工保險局,20240611,20240425,保退一字第11369911045號,展旺企業股份有限公司吳宜達,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,49853,
勞動部勞工保險局,20240812,20240625,保退一字第11369911065號,展旺企業股份有限公司吳宜達,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,130836,
勞動部勞工保險局,20241210,20241028,保退一字第11369911105號,展旺企業股份有限公司吳宜達,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,151172,
勞動部勞工保險局,20250210,20241225,保退一字第11369911125號,展旺企業股份有限公司吳宜達,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,149151,
台中市,20250305,20241226,府授勞動字第1130376309號,展旺企業股份有限公司吳宜達,勞動基準法第22條第2項,延遲給付工資,20000,
勞動部勞工保險局,20240215,20231221,保退一字第11269911125號,展旺企業股份有限公司吳宜達,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,25644,
勞動部勞工保險局,20240410,20240226,保退一字第11369911025號,展旺企業股份有限公司吳宜達,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,67597,
勞動部勞工保險局,20240611,20240425,保退一字第11369911045號,展旺企業股份有限公司吳宜達,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,49853,
勞動部勞工保險局,20240812,20240625,保退一字第11369911065號,展旺企業股份有限公司吳宜達,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,130836,
勞動部勞工保險局,20241210,20241028,保退一字第11369911105號,展旺企業股份有限公司吳宜達,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,151172,
勞動部勞工保險局,20250210,20241225,保退一字第11369911125號,展旺企業股份有限公司吳宜達,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,149151,
台中市,20250305,20241226,府授勞動字第1130376309號,展旺企業股份有限公司吳宜達,勞動基準法第22條第2項,延遲給付工資,20000,
