主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20190201,20181211,北市勞動字第10760977531號,康倪國際企業股份有限公司呂慶雲,勞動基準法第30條第6項;勞動基準法第32條第2項;勞動基準法第24條第1項;勞動基準法第24條第2項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止；延長工作時間超過法令規定；延長工作時間未依規定加給工資；未依法給付休息日工作之工資,,
新北市,20200622,20200318,新北府勞檢字第10947685091號,康倪國際企業股份有限公司,勞動基準法第36條第1項,勞工每七日中應有二日之休息，其中一日為例假，一日為休息日。,,
新北市,20200622,20200318,新北府勞檢字第1094768509號,康倪國際企業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
桃園市,20200409,20200205,109年府勞檢字10900230341號,康倪國際企業股份有限公司呂慶雲,勞基法第36條第1項,每7日中未有2日之休息作為例假及休息日,,
桃園市,20200409,20200205,109年府勞檢字1090023034號,康倪國際企業股份有限公司呂慶雲,勞基法第24條第2項,未依規定給付休息日工作之工資,,
勞動部勞工保險局,20211210,20211025,保退一字第11069911105號,康倪國際企業股份有限公司澎湖分公司呂慶雲,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,20658,
台中市,20210903,20210621,府授勞動字第1100152162號,康倪國際企業股份有限公司呂慶雲,勞動基準法第36條第1項,未依法令給予勞工例假,30000,
桃園市,20221007,20220804,111年府勞條字1110203767號,康倪國際企業股份有限公司呂慶雲,勞基法第39條,例假、休息日、第37條所定之休假日及特別休假出勤，未依規定加給工資,20000,
台北市,20250106,20241114,北市勞動字第11360276161號,康倪國際企業股份有限公司呂慶雲,勞動基準法第24條第1項;勞動基準法第36條第2項,延長工作時間未依規定加給工資;採變形工時制度，未依規定安排勞工例假或休息日,40000,
台北市,20190201,20181211,北市勞動字第10760977531號,康倪國際企業股份有限公司呂慶雲,勞動基準法第30條第6項;勞動基準法第32條第2項;勞動基準法第24條第1項;勞動基準法第24條第2項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止；延長工作時間超過法令規定；延長工作時間未依規定加給工資；未依法給付休息日工作之工資,,
新北市,20200622,20200318,新北府勞檢字第10947685091號,康倪國際企業股份有限公司,勞動基準法第36條第1項,勞工每七日中應有二日之休息，其中一日為例假，一日為休息日。,,
新北市,20200622,20200318,新北府勞檢字第1094768509號,康倪國際企業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
桃園市,20200409,20200205,109年府勞檢字10900230341號,康倪國際企業股份有限公司呂慶雲,勞基法第36條第1項,每7日中未有2日之休息作為例假及休息日,,
桃園市,20200409,20200205,109年府勞檢字1090023034號,康倪國際企業股份有限公司呂慶雲,勞基法第24條第2項,未依規定給付休息日工作之工資,,
勞動部勞工保險局,20211210,20211025,保退一字第11069911105號,康倪國際企業股份有限公司澎湖分公司呂慶雲,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,20658,
台中市,20210903,20210621,府授勞動字第1100152162號,康倪國際企業股份有限公司呂慶雲,勞動基準法第36條第1項,未依法令給予勞工例假,30000,
桃園市,20221007,20220804,111年府勞條字1110203767號,康倪國際企業股份有限公司呂慶雲,勞基法第39條,例假、休息日、第37條所定之休假日及特別休假出勤，未依規定加給工資,20000,
台北市,20250106,20241114,北市勞動字第11360276161號,康倪國際企業股份有限公司呂慶雲,勞動基準法第24條第1項;勞動基準法第36條第2項,延長工作時間未依規定加給工資;採變形工時制度，未依規定安排勞工例假或休息日,40000,
