主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
職業安全衛生署,20160808,20160608,勞職授字第1050202004號,建埕營造有限公司,營造安全衛生設施標準第19條第1項、第20條第1項、第40條第2項、第48條第1項及職業安全衛生設施規則第228條暨職業安全衛生法第6條第1項,對於高度2公尺以上之露台施工架開口、帷幕樓板開口、樓梯間施工架開口，電梯內工作台開口，勞工有遭受墜落危險之虞，未設護欄、護蓋、安全網等防護設備；對於施工架上設置之護欄，未具有高度在35公分以上，55公分以下之中間欄杆或等效設備；對於5公尺以上吊料平台處施工架改架變更設計，未重新製作強度計算書及施工圖說；對於施工架工作臺寬度，未在40公分以上並舖滿密接之踏板；對於高差超過1.5公尺以上之場所作業時，未設置使勞工安全上下之設備；對施工架有物體飛落之虞，未設斜籬等防止物體飛落之設備。,,
職業安全衛生署,20161210,20161031,勞職授字第1050203838號,建埕營造有限公司,職業安全衛生設施規則第92條第1項暨職業安全衛生法第6條第1項,對於移動式起重機具之運轉，未於運轉時採取防止吊掛物通過人員上方及人員進入吊掛物下方之設備或措施。,,
職業安全衛生署,20190314,20181116,勞職授字第1070205464號,建埕營造有限公司,營造安全衛生設施標準第129條第9款暨職業安全衛生法第6條第1項,對於暴露之牆面預留鋼筋，勞工有遭受被刺危險之虞，於該作業場所之暴露之牆面預留鋼筋未採取彎曲、加蓋，及護套應採取確實牢固等防護設施。,,
職業安全衛生署,20190314,20181116,勞職授字第1070205465號,建埕營造有限公司,職業安全衛生法第27條第1項第1、2、3款,與承攬人共同作業時，未設置協議組織並指定工作場所負責人擔任指揮、監督及協調之工作、未採取工作連繫與調整之必要措施、未巡視工作場所。,,
職業安全衛生署,20200807,20200520,勞職授字第1090201993號,建埕營造有限公司,職業安全衛生設施規則第228條職業安全衛生設施規則第281條第1項暨職業安全衛生法第6條第1項,對勞工於高差超過1.5公尺以上之鋼構工作場所作業時，未設置能使勞工安全上下之設備；對於在高度2公尺以上之鋼構組配高處作業，未使勞工確實使用安全帶及其他必要之防護具,,
加工出口區管理處,20210728,20210528,經加港四字1100100820號,建埕營造有限公司,職業安全衛生法第6條第1項,對於高度2公尺以上之開口、邊緣部分、樓梯、工作臺及施工構臺等場所作業，未於該處設置護欄、護蓋或安全網等防護設備。,,
職業安全衛生署,20220110,20211102,勞職授字第1100205393號,建埕營造有限公司黃俊穎,職業安全衛生法第27條第1項第1、2、3、4款,與承攬人共同作業時，未設置協議組織並指定工作場所負責人擔任指揮、監督及協調之工作、未採取工作連繫與調整之必要措施、未巡視工作場所、未指導及協助相關承攬事業間之安全衛生教育。,,
職業安全衛生署,20220110,20211102,勞職授字第1100205396號,建埕營造有限公司黃俊穎,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項,對於高度2公尺以上之施工架工作臺、樓梯開口部分等場所，勞工有遭受墜落危險之虞，未於施工架工作臺設置護欄(內側交叉拉桿及下拉桿)，及於樓梯開口部分設置護欄。,,
新竹市,20230107,20221201,府勞動字第1110180793號,建埕營造有限公司黃俊穎,勞基法第24條;勞基法第32條第2項;勞基法第36條第1項,延長工作時間及休息日出勤未依規定加給工資;延長工作時間超過法令規定;每七日中未有一日之休息作為例假。,60000,
職業安全衛生署,20220509,20220216,勞職授字第11102007992號,建埕營造有限公司黃俊穎,營造安全衛生設施標準第19條第1項;職業安全衛生設施規則第228條暨職業安全衛生法第6條第1項,對於高度二公尺以上之開口部分、工作臺等場所作業，勞工有遭受墜落危險之虞者，未於該處設置護欄、護蓋或安全網等防護設備。對勞工於高差超過一．五公尺以上之場所作業時，未設置使勞工安全上下之設備。,,
