主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
彰化縣,20161105,20160804,府勞動字第1050256797號,志成鋼鐵股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,,
職業安全衛生署,20200210,20191008,勞職授字第1080204279號,志成鋼鐵股份有限公司,職業安全衛生設施規則第57條第1項暨職業安全衛生法第6條第1項,所僱勞工於輸送滾輪內調整並固定臨時支撐，有危害勞工之虞之部分，除停止相關機械運轉外，為防止他人操作該機械之啟動裝置或誤送料，未於操作盤面採取上鎖或設置標示等措施，致發生職業安全衛生法第37條第2項之職業災害。,,
職業安全衛生署,20200710,20200320,勞職授字第1090201118號,志成鋼鐵股份有限公司,職業安全衛生設施規則第58條第5款暨職業安全衛生法第6條第1項,所設數值控制角鋼機之自動化機械，該數值控制角鋼機具有危險之部分，未設置護罩、護圍或具有連鎖性能之安全門等設備，致發生職業安全衛生法第37條第2項之職業災害。,,
職業安全衛生署,20200810,20200416,勞職授字第1090201554號,志成鋼鐵股份有限公司,職業安全衛生設施規則第153條暨職業安全衛生法第6條第1項,將鐵材移動擋板組傾斜放置於不平之地面上進行維修測試處置作業，有發生倒塌危害之虞，未採取繩索捆綁等災害防止必要設施，致發生職業安全衛生法第37條第2項之職業災害。,,
職業安全衛生署,20210111,20200924,勞職授字第1090203909號,志成鋼鐵股份有限公司,職業安全衛生設施規則第190條第1項第6款暨職業安全衛生法第6條第1項,使勞工使用氧乙炔熔接裝置從事輥輪底座維修作業，換裝新氧氣鋼瓶未清除配管口及內管之油類，致開啟氧氣容器開關閥時，管內油汙與高壓氧氣產生激烈氧化造成燃燒爆炸反應，並由壓力調整器底座處爆開，致發生職業安全衛生法第37條第2項之職業災害。,,
職業安全衛生署,20210205,20201012,勞職授字第1090204329號,志成鋼鐵股份有限公司,職業安全衛生設施規則第155條暨職業安全衛生法第6條第1項,對於超過40kg以上物料之搬運有危害勞工之虞，未以人力車輛或工具搬運，致發生職業安全衛生法第37條第2項之職業災害。,,
職業安全衛生署,20231010,20230818,勞職授字第1120203957A號,志成鋼鐵股份有限公司張士毅,職業安全衛生法第24條,設置吊升荷重3公噸以上之固定式起重機，係屬中央主管機關指定具有危險性之機械，所僱用操作人員未經中央主管機關認可之訓練或經技能檢定合格，即行操作。,,
職業安全衛生署,20231010,20230818,勞職授字第1120203957B號,志成鋼鐵股份有限公司張士毅,起重升降機具安全規則第63條第6款、職業安全衛生設施規則第153條暨職業安全衛生法第6條第1項,對於勞工操作固定式起重機從事出貨前備料作業，有遭吊運之槽鐵撞擊危害之虞，未於荷物起吊離地後引導固定式起重機暫停動作，以確認荷物之懸掛有無傾斜、鬆脫等異狀，且對於堆置高度距地面2公尺以上之槽鐵，未採取護網、擋樁、限制高度或變更堆積等必要設施，致發生職業安全衛生法第37條第2項第1款之職業災害。,,
職業安全衛生署,20231010,20230818,勞職授字第1120203957號,志成鋼鐵股份有限公司張士毅,職業安全衛生設施規則第228條暨職業安全衛生法第6條第1項,對於高度2公尺以上之槽鐵堆置處從事出貨前備料作業，未設置能使勞工安全上下之設備。,,
職業安全衛生署,20240905,20240628,勞職授字第1130205026號,志成鋼鐵股份有限公司張士毅,職業安全衛生設施規則第43條第1項、第58條第1項第4款、第224條第1項、工業用機器人危害預防標準第21條第1項第1款暨職業安全衛生法第6條第1項,對於輸送帶、飛剪機之齒輪、鍊條、傳動輪、傳動帶等有危害勞工之虞部分，未有護罩、護圍等設備；另所設置帶鋸機之鋸切所需鋸齒以外部分之鋸齒及帶輪，未設置護罩；又所設置切割機（工業用機械手臂）可動範圍之外側，於出入口以外之處所，未設置圍柵或護圍，使工作者不易進入可動範圍內；此外，冷卻水池區工作平臺邊緣開口距地2公尺以上部分，勞工有遭受墜落危險之虞，未設有適當強度之護欄等防護設備。,,
職業安全衛生署,20250205,20241223,勞職授字第1130207978號,志成鋼鐵股份有限公司張士毅,職業安全衛生設施規則第58條第5款、第238條暨職業安全衛生法第6條第1項,對於工作場所有物體飛落之虞者，未設置防止物體飛落之設備，並供給安全帽等防護具，使勞工戴用；又軋鋼生產線之軋機為電腦數值控制(PLC控制，programmablelogiccontroller)之機械，其軋機之捲夾危害部分，未設置護罩、護圍或具有連鎖性能之安全門等設備。,,
