主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20180316,20180103,北市勞職字第10641696400號,新時代鋼架股份有限公司,職業安全衛生設施規則第281條第1項暨職業安全衛生法第6條第1項第5款。,對於高度2公尺以上高處從事作業時，未使勞工確實使用安全帶及其他必要之防護具，使勞工有墜落之虞。,,
新北市,20190416,20190225,新北府勞檢字第10842459711號,新時代鋼架股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20190416,20190225,新北府勞檢字第10842459712號,新時代鋼架股份有限公司,勞動基準法第36條第1項,每七日中未有一日之休息作為例假,,
新北市,20190416,20190225,新北府勞檢字第1084245971號,新時代鋼架股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20220218,20211117,新北府勞檢字第1104747009號,新時代鋼架股份有限公司周宜德,勞動基準法第32條第2項,延長工作時間超過法令規定,40000,
新北市,20230217,20221201,新北府勞檢字第1114770182號,新時代鋼架股份有限公司周宜德,勞動基準法第24條,延長工作時間未依規定加給工資,40000,
職業安全衛生署,20230908,20230615,勞職授字第1120203058A號,新時代鋼架股份有限公司周宜德,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項,對於高度二公尺以上之開口部分、工作臺等場所作業，勞工有遭受墜落危險之虞者，未於該處設置護欄、護蓋或安全網等防護設備。,,
台北市,20180316,20180103,北市勞職字第10641696400號,新時代鋼架股份有限公司,職業安全衛生設施規則第281條第1項暨職業安全衛生法第6條第1項第5款。,對於高度2公尺以上高處從事作業時，未使勞工確實使用安全帶及其他必要之防護具，使勞工有墜落之虞。,,
新北市,20190416,20190225,新北府勞檢字第10842459711號,新時代鋼架股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20190416,20190225,新北府勞檢字第10842459712號,新時代鋼架股份有限公司,勞動基準法第36條第1項,每七日中未有一日之休息作為例假,,
新北市,20190416,20190225,新北府勞檢字第1084245971號,新時代鋼架股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20220218,20211117,新北府勞檢字第1104747009號,新時代鋼架股份有限公司周宜德,勞動基準法第32條第2項,延長工作時間超過法令規定,40000,
新北市,20230217,20221201,新北府勞檢字第1114770182號,新時代鋼架股份有限公司周宜德,勞動基準法第24條,延長工作時間未依規定加給工資,40000,
職業安全衛生署,20230908,20230615,勞職授字第1120203058A號,新時代鋼架股份有限公司周宜德,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項,對於高度二公尺以上之開口部分、工作臺等場所作業，勞工有遭受墜落危險之虞者，未於該處設置護欄、護蓋或安全網等防護設備。,,
