主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
新北市,20180615,20180411,新北府勞檢字第10735603541號,有豐食品股份有限公司,勞動基準法第36條,每七日中未有一日之休息做為例假,,
新北市,20180615,20180411,新北府勞檢字第1073560354號,有豐食品股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20180815,20180607,新北府勞檢字第1073568690號,有豐食品股份有限公司,勞動基準法第34條第2項,更換班次時未給予適當之休息時間,,
新北市,20220218,20211220,新北府勞檢字第1104750687號,有豐食品股份有限公司陳國顏,勞動基準法第32條第2項,延長工作時間超過法令規定,80000,
新北市,20221021,20220712,新北府勞檢字第1114752203號,有豐食品股份有限公司陳國顏,勞動基準法第32條第2項,延長工作時間超過法令規定,120000,
新北市,20230612,20230413,新北府勞檢字第1124660763號,有豐食品股份有限公司陳國顏,勞動基準法第32條第2項,延長工作時間超過法令規定,120000,
新北市,20180615,20180411,新北府勞檢字第10735603541號,有豐食品股份有限公司,勞動基準法第36條,每七日中未有一日之休息做為例假,,
新北市,20180615,20180411,新北府勞檢字第1073560354號,有豐食品股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20180815,20180607,新北府勞檢字第1073568690號,有豐食品股份有限公司,勞動基準法第34條第2項,更換班次時未給予適當之休息時間,,
新北市,20220218,20211220,新北府勞檢字第1104750687號,有豐食品股份有限公司陳國顏,勞動基準法第32條第2項,延長工作時間超過法令規定,80000,
新北市,20221021,20220712,新北府勞檢字第1114752203號,有豐食品股份有限公司陳國顏,勞動基準法第32條第2項,延長工作時間超過法令規定,120000,
新北市,20230612,20230413,新北府勞檢字第1124660763號,有豐食品股份有限公司陳國顏,勞動基準法第32條第2項,延長工作時間超過法令規定,120000,
新北市,20250421,20250210,新北府勞檢字第1144663000號,有豐食品股份有限公司陳國顏,勞動基準法第32條第2項,延長工作時間超過法令規定,200000,
