主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
新北市,20160823,20131115,北府勞條字第10230768341號,正隆股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,,
新北市,20160823,20131115,北府勞條字第1023076834號,正隆股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
職業安全衛生署,20150917,20150812,勞職授字第1040202774號,正隆股份有限公司,職業安全衛生設施規則第43條、第57條、第78條暨職業安全衛生法第6條第1項,對於木漿自動化輸送機械修理或調整有導致危害勞工之虞者，未停止相關機械運轉及送料；對抄紙機之轉軸、傳動輪、傳動帶等有危害勞工之虞之部分，未有護罩、護圍等設備；對於滾輾紙之壓光機有危害勞工之虞時，未設護圍、導輪等設備。,,
職業安全衛生署,20160110,20151223,勞職授字第1040204305號,正隆股份有限公司,職業安全衛生法第27條第1項,與承攬人分別僱用勞工共同作業時，對於高度2公尺以上之上水系統過濾設備改善工程快濾池頂開口部分及高差超過1.5公尺以上之快濾池上下作業場所未確實巡視工作場所。,,
嘉義縣,20160801,20160729,府授社勞資字第1050143133號,正隆股份有限公司,勞動基準法第32條第2項,未依勞動基準法第32條第2項雇主延長勞工工作時間連同正常工作時間，一日不超過12小時。延長之工作時間，一個月不超過46小時,,
新北市,20160823,20160115,新北府勞檢字第10534307541號,正隆股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20160823,20160115,新北府勞檢字第1053430754號,正隆股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
職業安全衛生署,20160310,20160216,勞職授字第1050200388號,正隆股份有限公司,職業安全衛生設施規則第43條第1項、第57條第1項暨職業安全衛生法第6條第1項,對於機械之原動機、轉軸、齒輪、帶輪、飛輪、傳動輪、傳動帶等有危害勞工之虞之部分，未有護罩、護圍、套胴、跨橋等設備；對於機械之掃除、上油、檢查、修理或調整有導致危害勞工之虞者，未停止相關機械運轉及送料。,,
職業安全衛生署,20161014,20160819,勞職授字第1050202843號,正隆股份有限公司,職業安全衛生設施規則第57條第1項暨職業安全衛生法第6條第1項,對於機械之掃除、上油、檢查、修理或調整有導致危害勞工之虞者，未停止相關機械運轉及送料。,,
職業安全衛生署,20170210,20161229,勞職授字第1050204956號,正隆股份有限公司大園紙器廠,職業安全衛生設施規則第57條第1項暨職業安全衛生法第6條第1項,對於機械之掃除、上油、檢查、修理或調整有導致危害勞工之虞者，未停止相關機械運轉及送料。,,
職業安全衛生署,20170626,20170406,勞職授字第1060201431號,正隆股份有限公司,職業安全衛生設施規則第57條第1項暨職業安全衛生法第6條第1項,對於機械之修理或調整有導致危害勞工之虞，為防止他人操作該機械之起動等裝置或誤送料，未採上鎖或設置標示等措施。,,
職業安全衛生署,20170930,20170626,勞職授字第1060202606號,正隆股份有限公司,職業安全衛生法第27條第1項,與承攬人分別僱用勞工共同作業時，為防止職業災害，未採取設置協議組織，並指定工作場所負責人，擔任指揮、監督及協調之工作、工作之連繫與調整、工作場所之巡視等措施。,,
職業安全衛生署,20180126,20171003,勞職授字第1060203222號,正隆股份有限公司,職業安全衛生設施規則第57條第1項暨職業安全衛生法第6條第1項,對於機械之掃除、上油、檢查、修理或調整有導致危害勞工之虞者，未停止相關機械運轉及送料。為防止他人操作該機械之起動等裝置或誤送料，未採上鎖或設置標示等措施，並設置防止落下物導致危害勞工之安全設備與措施。,,
苗栗縣,20180711,20180613,府勞資字第1070114463號,正隆股份有限公司,勞動基準法第32條第2項,延長之工作時間連同正常工作時間，一日超過十二小時。延長之工作時間，一個月超過四十六小時。,,
高雄市,20190130,20181207,高市勞條字第10739662400號,正隆股份有限公司鄭舒云,勞動基準法第32條第2項,延長工作時間超過法令規定,,
高雄市,20190130,20181207,高市勞條字第10739662400號,正隆股份有限公司鄭舒云,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20200221,20191209,新北府勞檢字第10842860061號,正隆股份有限公司,勞動基準法第36條第1項,每七日中未有一日之休息作為例假,,
新北市,20200221,20191209,新北府勞檢字第1084286006號,正隆股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
桃園市,20191008,20190822,108年府勞條字1080207990號,正隆股份有限公司鄭舒云,勞基法第36條第1項,每7日中未有2日之休息作為例假及休息日,,
桃園市,20191008,20190822,108年府勞條字1080207990號,正隆股份有限公司鄭舒云,勞基法第36條第1項,每7日中未有2日之休息作為例假及休息日,,
桃園市,20191209,20191029,府勞檢字第1080268074號,正隆股份有限公司鄧舒云,職業安全衛生設施規則第155條之1第4款暨職業安全衛生法第6條第1項;機械設備器具安全標準第84條第2項第2款暨職業安全衛生法第6條第1項;職業安全衛生設施規則第116條第14款暨職業安全衛生法第6條第1項,雇主使勞工以捲揚機等吊運物料時，應依下列規定辦理：一、…。四、吊鉤或吊具應有防止吊舉中所吊物體脫落之裝置。五、…。;使用座式操作之堆高機，應符合下列規定：一、…。二、配衡型堆高機及側舉型堆高機之駕駛座，應配置防止車輛傾倒時，駕駛者被堆高機壓傷之安全帶、護欄或其他防護設施。;雇主對於勞動場所作業之車輛機械，應使駕駛者或有關人員負責執行下列事項：一、…。十四、使用座式操作之配衡型堆高機及側舉型堆高機，應使擔任駕駛之勞工確實使用駕駛座安全帶。但駕駛座配置有車輛傾倒時，防止駕駛者被堆高機壓傷之護欄或其他防護設施者，不在此限。十五、…。,,
職業安全衛生署,20190611,20190304,勞職授字第1080200770號,正隆股份有限公司,職業安全衛生設施規則第57條第1項暨職業安全衛生法第6條第1項,對於輸送帶機械之掃除時，未對控制面板啟動開關採上鎖或設置標示等措施。,,
