主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
新北市,20160823,20150122,新北府勞條字第10401251771號,永旭物業管理顧問有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20160823,20150122,新北府勞條字第10401251772號,永旭物業管理顧問有限公司,勞動基準法第46條,僱用未滿十八歲勞工從事工作，未置備其法定代理人同意書及年齡證明文件,,
新北市,20160823,20150122,新北府勞條字第1040125177號,永旭物業管理顧問有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20160823,20160527,新北府勞檢字第1053446696號,永旭物業管理顧問有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20160823,20150122,新北府勞條字第10401251771號,永旭物業管理顧問有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加倍發給,,
新北市,20160823,20150122,新北府勞條字第10401251772號,永旭物業管理顧問有限公司,勞動基準法第46條,僱用未滿十八歲勞工從事工作，未置備其法定代理人同意書及年齡證明文件,,
新北市,20160823,20150122,新北府勞條字第1040125177號,永旭物業管理顧問有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20160823,20160527,新北府勞檢字第1053446696號,永旭物業管理顧問有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20200622,20200310,新北府勞檢字第10947673281號,永旭物業管理顧問有限公司,勞動基準法第36條第1項,勞工每七日中應有二日之休息，其中一日為例假，一日為休息日。,,
新北市,20200622,20200310,新北府勞檢字第1094767328號,永旭物業管理顧問有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
