主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20130531,20130403,府勞動字第10231662000號,渣打國際商業銀行股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
台北市,20161031,20160823,北市勞動字第10530583900號,渣打國際商業銀行股份有限公司洪丕正,勞動基準法第24條,延長工作時間未依規定加給工資,,
台北市,20190502,20190322,北市勞動字第10860093281號,渣打國際商業銀行股份有限公司龐維哲,勞動基準法第70條,工作規則未經主管機關核備,,訴願駁回
台北市,20200505,20200323,北市勞動字第10960016351號,渣打國際商業銀行股份有限公司龐維哲,勞動基準法第24條第1項,延長工作時間未依規定加給工資,,訴願駁回
台北市,20201204,20201027,北市勞動字第10961016531號,渣打國際商業銀行股份有限公司龐維哲GregoryJohnPowell,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,20000,
台北市,20210505,20210319,北市勞動字第11060067271號,渣打國際商業銀行股份有限公司龐維哲GregoryJohnPowell,勞動基準法第24條第1項,延長工作時間未依規定加給工資,100000,
台北市,20210805,20210621,北市勞動字第11060669071號,渣打國際商業銀行股份有限公司龐維哲GregoryJohnPowell,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,100000,
台中市,20230705,20230419,府授勞動字第1120098542號,渣打國際商業銀行股份有限公司禤惠儀WaiYiMaryHuen,勞動基準法第23條,未依法就工資各項目計算方式明細分別提供勞工及置備,20000,專案
台中市,20230910,20230801,府授勞檢字第1120214467號,渣打國際商業銀行股份有限公司禤惠儀,職業安全衛生法第37條第2項,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,,
高雄市,20230607,20230407,高市勞條字第11232543000號,渣打國際商業銀行股份有限公司禤惠儀,勞動基準法第24條,延長工作時間未依規定加給工資。,50000,
新竹市,20240605,20240509,府勞就字第1130077683號,渣打國際商業銀行股份有限公司禤惠儀,中高齡者及高齡者就業促進法第12條第1項,雇主對求職或受僱之中高齡者及高齡者，不得以年齡為由予以差別待遇,,
新竹市,20240605,20240509,府勞就字第1130077701號,渣打國際商業銀行股份有限公司禤惠儀,中高齡者及高齡者就業促進法第12條第1項,雇主對求職或受僱之中高齡者及高齡者，不得以年齡為由予以差別待遇,,
台北市,20130531,20130403,府勞動字第10231662000號,渣打國際商業銀行股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
台北市,20161031,20160823,北市勞動字第10530583900號,渣打國際商業銀行股份有限公司洪丕正,勞動基準法第24條,延長工作時間未依規定加給工資,,
台北市,20190502,20190322,北市勞動字第10860093281號,渣打國際商業銀行股份有限公司龐維哲,勞動基準法第70條,工作規則未經主管機關核備,,訴願駁回
台北市,20200505,20200323,北市勞動字第10960016351號,渣打國際商業銀行股份有限公司龐維哲,勞動基準法第24條第1項,延長工作時間未依規定加給工資,,訴願駁回
台北市,20201204,20201027,北市勞動字第10961016531號,渣打國際商業銀行股份有限公司龐維哲GregoryJohnPowell,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,20000,
台北市,20210505,20210319,北市勞動字第11060067271號,渣打國際商業銀行股份有限公司龐維哲GregoryJohnPowell,勞動基準法第24條第1項,延長工作時間未依規定加給工資,100000,
台北市,20210805,20210621,北市勞動字第11060669071號,渣打國際商業銀行股份有限公司龐維哲GregoryJohnPowell,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,100000,
台中市,20230705,20230419,府授勞動字第1120098542號,渣打國際商業銀行股份有限公司禤惠儀WaiYiMaryHuen,勞動基準法第23條,未依法就工資各項目計算方式明細分別提供勞工及置備,20000,專案
台中市,20230910,20230801,府授勞檢字第1120214467號,渣打國際商業銀行股份有限公司禤惠儀,職業安全衛生法第37條第2項,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,,
高雄市,20230607,20230407,高市勞條字第11232543000號,渣打國際商業銀行股份有限公司禤惠儀,勞動基準法第24條,延長工作時間未依規定加給工資。,50000,
新竹市,20240605,20240509,府勞就字第1130077683號,渣打國際商業銀行股份有限公司禤惠儀,中高齡者及高齡者就業促進法第12條第1項,雇主對求職或受僱之中高齡者及高齡者，不得以年齡為由予以差別待遇,,
新竹市,20240605,20240509,府勞就字第1130077701號,渣打國際商業銀行股份有限公司禤惠儀,中高齡者及高齡者就業促進法第12條第1項,雇主對求職或受僱之中高齡者及高齡者，不得以年齡為由予以差別待遇,,
