主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20171002,20170823,北市勞職字第10637532800號,熊敏營造有限公司,職業安全衛生法第27條第1項第1、2、3款。,與承攬人分別僱用勞工共同作業，未設置協議組織、將承攬人納入協議組織運作，對於承攬人所僱勞工於工區從事作業有頭顱受創等具有嚴重危害勞工及發生職業災害之虞之工作場所，未「確實巡視」並「指揮」命令停止該危險作業；亦未採積極具體作為「連繫」，要求承攬人依規定，使進場作業勞工確實戴用適當之安全帽。,,
台北市,20180102,20171117,北市勞職字第10640547900號,熊敏營造有限公司,1.職業安全衛生法第27條第1項第1、2、3款。;2.營造安全衛生設施標準第5條暨職業安全衛生法第6條第1項第7款。;3.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。,1.與承攬人分別僱用勞工共同作業，對於承攬人所僱勞工於工區從事作業有墜落等具有嚴重危害勞工及發生職業災害之虞之工作場所，未「確實巡視」並「指揮」命令停止該危險作業；亦未採積極具體作為「連繫」及要求承攬人依規定，使用符合規定之合梯。;2.對於工作場所暴露之鋼筋等易生職業災害者，未採取彎曲尖端、加蓋或加裝護套等防護措施。;3.對於高度2公尺以上之開口部分從事作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,,
台北市,20180223,20171206,北市勞職字第10640661104號,熊敏營造有限公司,1.職業安全衛生法第27條第1項第1、2、3款。;2.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。,1.與承攬人分別僱用勞工共同作業，未設置協議組織，對於承攬人所僱勞工於有墜落、頭顱受創等具有嚴重危害勞工及發生職業災害之虞之工作場所作業，未「確實巡視」並「指揮」命令停止該危險作業；亦未採積極具體作為「連繫」及要求承攬人依規定，使進場勞工確實戴用合格之安全帽，於高度2公尺以上之開口部分設置護欄、護蓋或安全網等防護設備。;2.對於高度2公尺以上之開口部分從事作業，未於開口處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,,
桃園市,20171211,20171024,府勞檢字第1060255862號,熊敏營造有限公司陳坤煌,職業安全衛生設施規則第228條暨職業安全衛生法第6條第1項第5款;職業安全衛生設施規則第230條第1項第1款暨職業安全衛生法第6條第1項;職業安全衛生設施規則第230條第1項第3款暨職業安全衛生法第6條第1項;職業安全衛生設施規則第230條第1項第4款暨職業安全衛生法第6條第1項;營造安全衛生設施標準第11條之1暨職業安全衛生法第6條第1項;營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項,雇主對勞工於高差超過一．五公尺以上之場所作業時，應設置能使勞工安全上下之設備。;雇主對於使用之合梯，應符合下列規定：一、具有堅固之構造。二、…。;雇主對於使用之合梯，應符合下列規定：一、…。三、梯腳與地面之角度應在七十五度以內，且兩梯腳間有金屬等硬質繫材扣牢，腳部有防滑絕緣腳座套。四、…。;雇主對於使用之合梯，應符合下列規定：一、…。四、有安全之防滑梯面。;雇主對於進入營繕工程工作場所作業人員，應提供適當安全帽，並使其正確戴用。;雇主對於高度二公尺以上之屋頂、鋼樑、開口部分、階梯、樓梯、坡道、工作臺、擋土牆、擋土支撐、施工構臺、橋樑墩柱及橋樑上部結構、橋臺等場所作業，勞工有遭受墜落危險之虞者，應於該處設置護欄、護蓋或安全網等防護設備。,,
台北市,20180316,20180102,北市勞職字第10641715800號,熊敏營造有限公司,1.營造安全衛生設施標準第5條暨職業安全衛生法第6條第1項第7款。;2.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。,1.對於工作場所暴露之鋼筋等易生職業災害者，未採取彎曲尖端、加蓋或加裝護套等防護設施。;2.對於高度2公尺以上之開口部分從事作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,,
台北市,20180423,20180212,北市勞職字第10731177000號,熊敏營造有限公司,1.職業安全衛生法第27條第1項第1、2、3款。;2.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。,1.承攬人分別僱用勞工共同作業，對於承攬人僱用勞工於工區從事作業有墜落等有頭顱受創等具有嚴重危害勞工及發生職業災害之虞之工作場所，未「確實巡視」並「指揮」命令停止該危險作業；亦未採積極具體作為「連繫」及要求承攬人依營造安全衛生設施標準第11條之1、職業安全衛生設施規則第230條第2項之規定，使進場作業勞工確實戴用適當之安全帽及禁止勞工站立於合梯頂板進行作業。;2.對於高度2公尺以上之開口部分從事營建施工管理作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,,
台北市,20180523,20180314,北市勞職字第10731658900號,熊敏營造有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。,對於高度2公尺以上之開口部分從事作業，未於開口處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,,
台北市,20180523,20180330,北市勞職字第10732028400號,熊敏營造有限公司,1.職業安全衛生法第26條第1項。;2.職業安全衛生法第27條第1項第1、2、3、4款。;3.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。,1.將工程交付承攬人時，未於事前以書面或協商會議紀錄告知承攬人有關工作環境、危害因素暨有關安全衛生規定應採取之措施。;2.與承攬人分別僱用勞工共同作業，未設置協議組織，將承攬人納入協議組織運作，又對於承攬人所僱勞工於工區從事作業有頭顱受創等具有嚴重危害勞工及發生職業災害之虞之工作場所，未「確實巡視」並「指揮」命令停止該危險作業；亦未採積極具體作為「連繫」及要求再承攬人依營造安全衛生設施標準第11條之1之規定，使進場作業勞工確實戴用適當之安全帽，又對於承攬人所僱勞工從事作業，未指導及協助再承攬人依職業安全衛生教育訓練規則第16條第1項之規定，對作業勞工施以必要之安全衛生教育訓練。;3.對於高度2公尺以上之開口部分從事作業，未於開口處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,,
台北市,20180615,20180412,北市勞職字第10732258800號,熊敏營造有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。,對於高度2公尺以上之開口部分從事作業，未於開口處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,,
台北市,20180615,20180411,北市勞職字第10732308100號,熊敏營造有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。,對於高度2公尺以上之開口部分從事作業，未於開口處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,,
台北市,20190102,20181017,北市勞職字第10760571291號,熊敏營造有限公司,職業安全衛生設施規則第230條第1項第3款暨職業安全衛生法第6條第1項第5款,合梯未符合規定。,,
台北市,20190201,20181119,北市勞職字第10760719241號,熊敏營造有限公司,1.營造安全衛生設施標準第40條第1項第1、2款暨職業安全衛生法第6條第1項第5款;2.營造安全衛生設施標準第45條第2、3、7款暨職業安全衛生法第6條第1項第5款;3.營造安全衛生設施標準第46條第1項第2款暨職業安全衛生法第6條第1項第5款;4.職業安全衛生設施規則第157條第3款暨職業安全衛生法第6條第1項第5款,1.施工架等施工圖說、強度計算書未經簽章。;2.施工架及施工構臺未採取穩定措施。;3.施工架上物料運送、儲存及荷重分配未依規定辦理。;4.行駛中貨車、垃圾車或資源回收車未依規定辦理。,,
