主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
新北市,20161208,20161024,新北府勞檢字第10534661261號,盟高實業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20161208,20161024,新北府勞檢字第10534661262號,盟高實業股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,,
新北市,20161208,20161024,新北府勞檢字第1053466126號,盟高實業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20240816,20240620,新北府勞檢字第11346493501號,盟高實業股份有限公司葉金建,勞動基準法第32條第2項,延長工作時間超過法令規定,20000,
新北市,20240816,20240620,新北府勞檢字第11346493502號,盟高實業股份有限公司葉金建,勞動基準法第38條第2項,未依規定給予特別休假,20000,
新北市,20240816,20240620,新北府勞檢字第1134649350號,盟高實業股份有限公司葉金建,勞動基準法第24條,延長工作時間未依規定加給工資,20000,
新北市,20161208,20161024,新北府勞檢字第10534661261號,盟高實業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,,
新北市,20161208,20161024,新北府勞檢字第10534661262號,盟高實業股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,,
新北市,20161208,20161024,新北府勞檢字第1053466126號,盟高實業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,,
新北市,20240816,20240620,新北府勞檢字第11346493501號,盟高實業股份有限公司葉金建,勞動基準法第32條第2項,延長工作時間超過法令規定,20000,
新北市,20240816,20240620,新北府勞檢字第11346493502號,盟高實業股份有限公司葉金建,勞動基準法第38條第2項,未依規定給予特別休假,20000,
新北市,20240816,20240620,新北府勞檢字第1134649350號,盟高實業股份有限公司葉金建,勞動基準法第24條,延長工作時間未依規定加給工資,20000,
