主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20150706,20150525,府勞職字第10434061600號,禮驅工程有限公司,營造安全衛生設施標準第11條之1暨職業安全衛生法第6條第1項第1、3、5款,於道路旁從事開挖作業時，未使該等勞工戴用適當安全帽。,,
台北市,20160318,20160121,北市勞職字第10533081500號,禮驅工程有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款,對於高度2公尺以上之開口部分從事吊料作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,,
台北市,20160518,20160322,北市勞職字第10536769900號,禮驅工程有限公司,職業安全衛生設施規則第281條第1項暨職業安全衛生法第6條第1項第5款。,對於僱用勞工於高度2公尺以上之從事物料整理作業有墜落之虞，未使勞工確實使用安全帶、安全帽及其他必要之防護具。,,
台北市,20170117,20161102,北市勞職字第10545944900號,禮驅工程有限公司,職業安全衛生設施規則第250條暨職業安全衛生法第6條第1項第3款。,使勞工於良導體機器設備內之狹小空間或於鋼架等致有觸及高導電性接地物之虞之場所，作業所使用之交流電焊機未有自動電擊防止裝置，使勞工有感電之虞。,,
台北市,20170601,20170426,北市勞職字第10634736100號,禮驅工程有限公司,營造安全衛生設施標準第71條第1項暨職業安全衛生法第6條第1項第5款。,對於工區從事作業，其垂直開挖深度在1.5公尺以上，未設擋土支撐。,,
台北市,20180223,20171207,北市勞職字第10641358900號,禮驅工程有限公司,營造安全衛生設施標準第11條之1暨職業安全衛生法第6條第1項第1、3、5款。,對於進入營繕工程工作場所作業人員，未提供適當安全帽，並使其正確戴用。,,
台北市,20180423,20180212,北市勞職字第10730132100號,禮驅工程有限公司,1.職業安全衛生法第26條第1項。;2.職業安全衛生法第27條第1項第1、2、3、4款。,1.將工程交付承攬人承攬時，未於事前以書面或協商會議紀錄告知承攬人有關其工作環境、危害因素暨有關安全衛生規定應採取之措施。;2.與承攬人分別僱用勞工共同作業，對於承攬人所僱勞工從事作業有被倒塌、崩塌等具有嚴重危害勞工及發生職業災害之虞之工作場所，未「確實巡視」並「指揮」命令停止該危險作業，亦未採積極具體作為「連繫」及要求承攬人依營造安全衛生設施標準第66條及第71條第1項及職業安全衛生教育訓練規則第16條第1項規定，雇主使勞工從事露天開挖作業，為防止土石崩塌，應指定專人，其垂直開挖最大深度應妥為設計，如其深度在一．五公尺以上者，應設擋土支撐，又未對作業勞工施以必要之安全衛生教育訓練。,,
台北市,20180423,20180212,北市勞職字第10731419500號,禮驅工程有限公司,1.缺氧症預防規則第5條第1項暨職業安全衛生法第6條第1項第7款。;2.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。;3.職業安全衛生設施規則第37條第1項第8款暨職業安全衛生法第6條第1項第5款。,1.對勞工於缺氧危險場所從事作業時，未予適當換氣，以保持該作業場所空氣中氧氣濃度在百分之十八以上。;2.對於高度2公尺以上之開口部分從事營建施工管理作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。;3.僱用勞工於高度6公尺以上之固定梯子，未於距梯底2公尺以上部分設置護籠或其他保護裝置，使勞工上下工作井有遭受墜落之虞。,,
台北市,20181001,20180725,北市勞職字第10760519521號,禮驅工程有限公司,營造安全衛生設施標準第41條第1項第5款暨職業安全衛生法第6條第1項第1款,施工架組配作業未指派作業主管辦理安全衛生事項。,,
台北市,20150706,20150525,府勞職字第10434061600號,禮驅工程有限公司,營造安全衛生設施標準第11條之1暨職業安全衛生法第6條第1項第1、3、5款,於道路旁從事開挖作業時，未使該等勞工戴用適當安全帽。,,
台北市,20160318,20160121,北市勞職字第10533081500號,禮驅工程有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款,對於高度2公尺以上之開口部分從事吊料作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。,,
台北市,20160518,20160322,北市勞職字第10536769900號,禮驅工程有限公司,職業安全衛生設施規則第281條第1項暨職業安全衛生法第6條第1項第5款。,對於僱用勞工於高度2公尺以上之從事物料整理作業有墜落之虞，未使勞工確實使用安全帶、安全帽及其他必要之防護具。,,
台北市,20170117,20161102,北市勞職字第10545944900號,禮驅工程有限公司,職業安全衛生設施規則第250條暨職業安全衛生法第6條第1項第3款。,使勞工於良導體機器設備內之狹小空間或於鋼架等致有觸及高導電性接地物之虞之場所，作業所使用之交流電焊機未有自動電擊防止裝置，使勞工有感電之虞。,,
台北市,20170601,20170426,北市勞職字第10634736100號,禮驅工程有限公司,營造安全衛生設施標準第71條第1項暨職業安全衛生法第6條第1項第5款。,對於工區從事作業，其垂直開挖深度在1.5公尺以上，未設擋土支撐。,,
台北市,20180223,20171207,北市勞職字第10641358900號,禮驅工程有限公司,營造安全衛生設施標準第11條之1暨職業安全衛生法第6條第1項第1、3、5款。,對於進入營繕工程工作場所作業人員，未提供適當安全帽，並使其正確戴用。,,
台北市,20180423,20180212,北市勞職字第10730132100號,禮驅工程有限公司,1.職業安全衛生法第26條第1項。;2.職業安全衛生法第27條第1項第1、2、3、4款。,1.將工程交付承攬人承攬時，未於事前以書面或協商會議紀錄告知承攬人有關其工作環境、危害因素暨有關安全衛生規定應採取之措施。;2.與承攬人分別僱用勞工共同作業，對於承攬人所僱勞工從事作業有被倒塌、崩塌等具有嚴重危害勞工及發生職業災害之虞之工作場所，未「確實巡視」並「指揮」命令停止該危險作業，亦未採積極具體作為「連繫」及要求承攬人依營造安全衛生設施標準第66條及第71條第1項及職業安全衛生教育訓練規則第16條第1項規定，雇主使勞工從事露天開挖作業，為防止土石崩塌，應指定專人，其垂直開挖最大深度應妥為設計，如其深度在一．五公尺以上者，應設擋土支撐，又未對作業勞工施以必要之安全衛生教育訓練。,,
台北市,20180423,20180212,北市勞職字第10731419500號,禮驅工程有限公司,1.缺氧症預防規則第5條第1項暨職業安全衛生法第6條第1項第7款。;2.營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款。;3.職業安全衛生設施規則第37條第1項第8款暨職業安全衛生法第6條第1項第5款。,1.對勞工於缺氧危險場所從事作業時，未予適當換氣，以保持該作業場所空氣中氧氣濃度在百分之十八以上。;2.對於高度2公尺以上之開口部分從事營建施工管理作業，未於該處設置護欄、護蓋或安全網等防護設備，使勞工有遭受墜落危險之虞。;3.僱用勞工於高度6公尺以上之固定梯子，未於距梯底2公尺以上部分設置護籠或其他保護裝置，使勞工上下工作井有遭受墜落之虞。,,
台北市,20181001,20180725,北市勞職字第10760519521號,禮驅工程有限公司,營造安全衛生設施標準第41條第1項第5款暨職業安全衛生法第6條第1項第1款,施工架組配作業未指派作業主管辦理安全衛生事項。,,
台北市,20191105,20190821,北市勞職字第10860524321號,禮驅工程有限公司,營造安全衛生設施標準第9條暨職業安全衛生法第6條第1項第2款,電線、管線等未掌握狀況予以妥處。,,
