主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20140606,20140319,府勞動字第10330947400號,聯邦保全股份有限公司,勞動基準法第38條,未依規定給予特別休假,,
台北市,20160223,20151207,北市勞動字第10436166800號,聯邦保全股份有限公司謝志明,勞動基準法第38條,未依規定給予特別休假,,
台北市,20160526,20160328,北市勞動字第10533293600號,聯邦保全股份有限公司謝志明,勞動基準法第22條第2項,工資未全額給付給勞工,,
桃園市,20160206,20160125,105年府勞條字1050013019號,聯邦保全股份有限公司謝志明,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,,
台北市,20170901,20170724,北市勞動字第10632844200號,聯邦保全股份有限公司謝志明,勞動基準法第32條第2項,延長工作時間超過法令規定,,
桃園市,20170606,20170405,106年府勞檢字1060069049號,聯邦保全股份有限公司謝志明,勞基法第38條,未依規定給予特別休假,,(行為時)
台北市,20180702,20180504,北市勞動字第10731397000號,聯邦保全股份有限公司謝志明,勞動基準法第32條第2項;勞動基準法第37條;勞動基準法第36條第1項;勞動基準法第38條第4項,延長工作時間超過法令規定;依規定應放假之日未予休假;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日;勞工之特別休假，因年度終結或契約終止而未休之日數，雇主未發給工資,,訴願駁回
台北市,20190102,20181109,北市勞動字第10760402991號,聯邦保全股份有限公司謝志明,勞動基準法第21條第1項;勞動基準法第24條第1項,未達基本工資;延長工作時間未依規定加給工資,,訴願駁回
新北市,20201021,20200728,新北府勞檢字第1094785604號,聯邦保全股份有限公司陳俊宏,勞動基準法第38條第4項,勞工之特別休假，因年度終結或契約終止而未休之日數，雇主應發給工資。,40000,
桃園市,20200907,20200723,109年府勞檢字1090180930號,聯邦保全股份有限公司陳俊宏,勞基法第38條第4項,未發給因年度終結或契約終止特休未休日數之工資,20000,
台北市,20210805,20210618,北市勞動字第11060248841號,聯邦保全股份有限公司陳俊宏,勞動基準法第24條第1項;勞動基準法第36條第1項,延長工作時間未依規定加給工資;未使勞工每7日中有2日之休息，其中1日為例假，1日為休息日,200000,
台北市,20211203,20210917,北市勞職字第11060962651號,聯邦保全股份有限公司,勞工健康保護規則第3條第2項第2款暨職業安全衛生法第22條1項款,未依規定配置護理人員。,,
勞動部勞工保險局,20220610,20220427,保退二字第11160041711號,聯邦保全股份有限公司陳俊宏,勞工退休金條例第15條第2項,雇主未依規定覈實申報調整勞工退休金提繳工資。,5000,
台北市,20221005,20220728,北市勞職字第11160818571號,聯邦保全股份有限公司陳俊宏,勞工健康保護規則第17條第1項第1、2、3款暨職業安全衛生法第20條1項1款,雇主對在職勞工未依規定定期實施一般健康檢查,,
新北市,20220819,20220526,新北府勞檢字第1114745921號,聯邦保全股份有限公司陳俊宏,勞動基準法第22條第2項,工資未全額直接給付勞工,40000,
台北市,20230905,20230719,府勞動字第11260703161號,聯邦保全股份有限公司陳俊宏,勞動基準法第24條第1項,延長工作時間未依規定加給工資,100000,
