主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
職業安全衛生署,20170110,20161104,勞職授字第1050204056號,臺灣港務股份有限公司,職業安全衛生法第27條第1項,與承攬人及再承攬人分別僱用勞工共同作業時，未設置協議組織，未指定工作場所負責人擔任指揮、監督及協調之工作。,,
職業安全衛生署,20180808,20171002,勞職授字第1060203645號,臺灣港務股份有限公司,職業安全衛生法第27條第1項,與承攬人分別僱用勞工共同作業時，未採取工作之連繫與調整之必要措施、未指導及協助相關承攬事業間之安全衛生教育。,,
新北市,20220819,20220524,新北府勞檢字第1114745402號,臺灣港務股份有限公司李賢義,勞動基準法第22條第2項,工資未全額直接給付勞工,20000,
台中市,20230905,20230704,府授勞動字第1120185454號,臺灣港務股份有限公司,勞動基準法第40條,因天災、事變或突發事件停止假期，未事後給予勞工補假休息,20000,專案
職業安全衛生署,20240915,20230912,勞職授字第1120204279號,臺灣港務股份有限公司李賢義,職業安全衛生設施規則第21條之1第1項第1款暨職業安全衛生法第6條第1項,對於有車輛出入、使用道路作業、鄰接道路作業或有導致交通事故之虞之工作場所未有設置交通標示使受警告者清晰獲知。,,
職業安全衛生署,20240915,20231019,勞職授字第1120204910號,臺灣港務股份有限公司李賢義,碼頭裝卸安全衛生設施標準第7條;職業安全衛生設施規則第280條之1暨職業安全衛生法第6條第1項,對於物料之搬運未妥善規劃運輸路線。,,
職業安全衛生署,20240318,20240201,勞職授字第1130202623B號,臺灣港務股份有限公司高傳凱,職業安全衛生法第27條第1項第1款、第2款、第3款,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取下列必要措施：一、設置協議組織，並指定工作場所負責人，擔任指揮、監督及協調之工作。二、工作之連繫與調整。三、工作場所之巡視。,,
職業安全衛生署,20240318,20240201,勞職授字第1130202623C號,臺灣港務股份有限公司高傳凱,職業安全衛生法第26條第1項,事業單位以其事業之全部或一部分交付承攬時，未於事前告知該承攬人有關其事業工作環境、危害因素暨本法有關安全衛生規定應採取之措施。,,
職業安全衛生署,20170110,20161104,勞職授字第1050204056號,臺灣港務股份有限公司,職業安全衛生法第27條第1項,與承攬人及再承攬人分別僱用勞工共同作業時，未設置協議組織，未指定工作場所負責人擔任指揮、監督及協調之工作。,,
職業安全衛生署,20180808,20171002,勞職授字第1060203645號,臺灣港務股份有限公司,職業安全衛生法第27條第1項,與承攬人分別僱用勞工共同作業時，未採取工作之連繫與調整之必要措施、未指導及協助相關承攬事業間之安全衛生教育。,,
新北市,20220819,20220524,新北府勞檢字第1114745402號,臺灣港務股份有限公司李賢義,勞動基準法第22條第2項,工資未全額直接給付勞工,20000,
台中市,20230905,20230704,府授勞動字第1120185454號,臺灣港務股份有限公司,勞動基準法第40條,因天災、事變或突發事件停止假期，未事後給予勞工補假休息,20000,專案
職業安全衛生署,20240915,20230912,勞職授字第1120204279號,臺灣港務股份有限公司李賢義,職業安全衛生設施規則第21條之1第1項第1款暨職業安全衛生法第6條第1項,對於有車輛出入、使用道路作業、鄰接道路作業或有導致交通事故之虞之工作場所未有設置交通標示使受警告者清晰獲知。,,
職業安全衛生署,20240915,20231019,勞職授字第1120204910號,臺灣港務股份有限公司李賢義,碼頭裝卸安全衛生設施標準第7條;職業安全衛生設施規則第280條之1暨職業安全衛生法第6條第1項,對於物料之搬運未妥善規劃運輸路線。,,
職業安全衛生署,20240318,20240201,勞職授字第1130202623B號,臺灣港務股份有限公司高傳凱,職業安全衛生法第27條第1項第1款、第2款、第3款,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取下列必要措施：一、設置協議組織，並指定工作場所負責人，擔任指揮、監督及協調之工作。二、工作之連繫與調整。三、工作場所之巡視。,,
職業安全衛生署,20240318,20240201,勞職授字第1130202623C號,臺灣港務股份有限公司高傳凱,職業安全衛生法第26條第1項,事業單位以其事業之全部或一部分交付承攬時，未於事前告知該承攬人有關其事業工作環境、危害因素暨本法有關安全衛生規定應採取之措施。,,
