主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
職業安全衛生署,20200408,20200120,勞職授字1090200186號,貴族世家企業股份有限公司,機械設備器具安全標準第76條、機械設備器具安全標準第78條、機械設備器具安全標準第84條第2項第2款暨職業安全衛生法第6條第1項,對於配衡型堆高機未依規定於左右各設一個方向指示器（經測試已損壞無法作動）；未設置前照燈及後照燈；未配置防止車輛傾倒時，駕駛者被堆高機壓傷之安全帶、護欄或其他防護設施,,
新北市,20221021,20220727,新北府勞檢字第1114754102號,貴族世家企業股份有限公司林士欽,職業安全衛生法第6條第2項,未妥為規劃及採取必要之安全衛生措施,,
新北市,20241220,20240906,新北府勞檢字第11346592981號,貴族世家企業股份有限公司林士欽,勞動基準法第24條,延長工作時間未依規定加給工資,20000,
新北市,20241220,20240906,新北府勞檢字第11346592982號,貴族世家企業股份有限公司林士欽,勞動基準法第32條第2項,延長工作時間超過法令規定,20000,
新北市,20241220,20240906,新北府勞檢字第1134659298號,貴族世家企業股份有限公司林士欽,勞動基準法第22條第2項,工資未全額直接給付勞工,20000,
職業安全衛生署,20200408,20200120,勞職授字1090200186號,貴族世家企業股份有限公司,機械設備器具安全標準第76條、機械設備器具安全標準第78條、機械設備器具安全標準第84條第2項第2款暨職業安全衛生法第6條第1項,對於配衡型堆高機未依規定於左右各設一個方向指示器（經測試已損壞無法作動）；未設置前照燈及後照燈；未配置防止車輛傾倒時，駕駛者被堆高機壓傷之安全帶、護欄或其他防護設施,,
新北市,20221021,20220727,新北府勞檢字第1114754102號,貴族世家企業股份有限公司林士欽,職業安全衛生法第6條第2項,未妥為規劃及採取必要之安全衛生措施,,
新北市,20241220,20240906,新北府勞檢字第11346592981號,貴族世家企業股份有限公司林士欽,勞動基準法第24條,延長工作時間未依規定加給工資,20000,
新北市,20241220,20240906,新北府勞檢字第11346592982號,貴族世家企業股份有限公司林士欽,勞動基準法第32條第2項,延長工作時間超過法令規定,20000,
新北市,20241220,20240906,新北府勞檢字第1134659298號,貴族世家企業股份有限公司林士欽,勞動基準法第22條第2項,工資未全額直接給付勞工,20000,
