主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20160714,20160505,北市勞職字第10534118200號,輝達營造有限公司,職業安全衛生設施規則第228條暨職業安全衛生法第6條第1項第5款。,對勞工於高差超過1.5公尺以上之施工架場所作業時，未設置使勞工安全上下之設備。,,
高雄市,20180301,20171221,高市勞檢字第10672379000號,輝達營造有限公司洪文霖,職業安全衛生法第6條第1項第5款,對於高度二公尺以上之高處作業，未於該處設置護欄、護蓋或安全網等防護設備。,,
職業安全衛生署,20180712,20180425,勞職授字第1070200090號,輝達營造有限公司,營造安全衛生設施標準第5條、第19條第1項暨職業安全衛生法第6條第1項,暴露之鋼筋未採取彎曲尖端、加蓋或加裝護套等防護設施；高度2公尺以上之開口部分勞工有遭受墜落危險之虞者，未設置護欄、護蓋或安全網等防護設備。,,
職業安全衛生署,20190812,20190517,勞職授字第1080201845號,輝達營造有限公司,營造安全衛生設施標準第19條第1項、第20條、第40條第2項、第48條第1項、第59條暨職業安全衛生法第6條第1項,"對於高度2公尺以上之開口及部分外牆施工架工作臺等場所作業,勞工有遭受墜落危險之虞者,未於該處設置護欄等防護設備;對於部分設置之護欄未設中欄杆、腳趾版;對於部分外牆施工架工作臺支撐點未綁結固定,有脫落或位移之虞;及對於施工架構件之連接部分未以適當之金屬附屬配件確實連接固定。",,
職業安全衛生署,20200109,20191014,勞職授字第1080204256號,輝達營造有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項,對於高度2公尺以上之開口邊緣處作業場所，勞工有遭受墜落危害之虞者，未設置護欄、護蓋或安全網等防護設備。,,
新北市,20200420,20200214,新北府勞檢字第1094764447號,輝達營造有限公司,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
新北市,20221216,20221006,新北府勞檢字第1114762946號,輝達營造有限公司洪文霖,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
新北市,20230612,20230320,新北府勞檢字第11246577991號,輝達營造有限公司洪文霖,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
新北市,20230612,20230317,新北府勞檢字第1124657799號,輝達營造有限公司洪文霖,職業安全衛生法第27條第1項,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,,
新北市,20230612,20230322,新北府勞檢字第11246582451號,輝達營造有限公司洪文霖,職業安全衛生法第27條第1項,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,,
新北市,20230818,20230601,新北府勞檢字第11246669421號,輝達營造有限公司洪文霖,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
新北市,20230818,20230601,新北府勞檢字第1124666942號,輝達營造有限公司洪文霖,職業安全衛生法第27條第1項,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,,
新北市,20231020,20230829,新北府勞檢字第1124677041號,輝達營造有限公司洪文霖,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
新北市,20231215,20231003,新北府勞檢字第1124681554號,輝達營造有限公司洪文霖,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
新北市,20240223,20231129,新北府勞檢字第1124687929號,輝達營造有限公司洪文霖,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
新北市,20240419,20240219,新北府勞檢字第1134634422號,輝達營造有限公司洪文霖,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
新北市,20240816,20240507,新北府勞檢字第1134643912號,輝達營造有限公司洪文霖,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
新北市,20240816,20240529,新北府勞檢字第1134646691號,輝達營造有限公司洪文霖,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
新北市,20241018,20240704,新北府勞檢字第1134650799號,輝達營造有限公司洪文霖,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
新北市,20241018,20240809,新北府勞檢字第1134655439號,輝達營造有限公司洪文霖,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
