主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
桃園市,20160610,20160517,105年府勞條字1050118483號,迎廣科技股份有限公司賴文賢,勞基法第24條,延長工作時間未依規定加給工資,,
桃園市,20161010,20160921,105年府勞檢字10502331771號,迎廣科技股份有限公司賴文賢,勞基法第32條第2項,延長工作時間超過法令規定,,
桃園市,20161010,20160921,105年府勞檢字1050233177號,迎廣科技股份有限公司賴文賢,勞基法第24條,延長工作時間未依規定加給工資,,
桃園市,20180108,20171120,106年府勞條字1060278529號,迎廣科技股份有限公司賴文賢,勞基法第32條第2項,延長工作時間超過法令規定,,
職業安全衛生署,20170420,20170208,勞職授字第1060200312號,迎廣科技股份有限公司,職業安全衛生設施規則第241條、固定式起重機安全檢查構造標準第45條第1項暨職業安全衛生法第6條第1項,設置之電氣機具帶電部分，勞工於作業中或通行時，有因接觸發生感電之虞，未設防止感電之護圍或絕緣被覆；固定起重機之操作用開關器標示動作方向標示脫落。,,
桃園市,20190108,20181112,107年府勞條字1070283607號,迎廣科技股份有限公司賴文賢,勞基法第32條第2項,延長工作時間超過法令規定,,
桃園市,20191008,20190805,108年府勞條字10801869951號,迎廣科技股份有限公司賴文賢,勞基法第32條第2項,延長工作時間超過法令規定,,
桃園市,20191008,20190805,108年府勞條字1080186995號,迎廣科技股份有限公司賴文賢,勞基法第24條第2項,未依規定給付休息日工作之工資,,
桃園市,20190904,20190702,府勞檢字第1080164318號,迎廣科技股份有限公司賴文賢,機械設備器具安全標準第12條之1暨職業安全衛生法第6條第1項,具有光電式安全裝置之衝剪機械，其檢出機構之光軸與台盤前端之距離，有足使身體之一部侵入之虞者，應設置防止侵入之安全圍柵或中間光軸等設施。,,
桃園市,20191008,20190812,府勞檢字第1080200921號,迎廣科技股份有限公司賴文賢,機械設備器具安全標準第4條第1項暨職業安全衛生法第6條第1項,以動力驅動之衝壓機械及剪斷機械（以下簡稱衝剪機械），應具有安全護圍、安全模、特定用途之專用衝剪機械或自動衝剪機械（以下簡稱安全護圍等）。但具有防止滑塊等引起危害之機構者，不在此限。,,
職業安全衛生署,20191008,20190703,勞職授字第1080202670號,迎廣科技股份有限公司,職業安全衛生法第37條第2項,"勞動場所發生罹災人數在1人以上,且需住院治療之職業災害,未於8小時內通報勞動檢查機構。",,
桃園市,20211207,20211028,110年府勞條字11002705861號,迎廣科技股份有限公司賴文賢,勞基法第36條第1項,每7日中未有2日之休息作為例假及休息日,50000,
桃園市,20211207,20211028,110年府勞條字1100270586號,迎廣科技股份有限公司賴文賢,勞基法第32條第2項,延長工作時間超過法令規定,150000,
桃園市,20220802,20220607,111年府勞條字1110154948號,迎廣科技股份有限公司賴文賢,勞基法第32條第2項,延長工作時間超過法令規定,150000,
桃園市,20231004,20230828,112年府勞檢字1120238788號,迎廣科技股份有限公司賴文賢,勞基法第32條第2項,延長工作時間超過法令規定,150000,
桃園市,20240905,20240516,113年府勞條字第1130127079號,迎廣科技股份有限公司賴文賢,就業服務法第5條第1項,容貌歧視,,無
桃園市,20240902,20240718,113年府勞檢字1130195425號,迎廣科技股份有限公司賴文賢,勞基法第32條第2項,延長工作時間超過法令規定,300000,
桃園市,20160610,20160517,105年府勞條字1050118483號,迎廣科技股份有限公司賴文賢,勞基法第24條,延長工作時間未依規定加給工資,,
桃園市,20161010,20160921,105年府勞檢字10502331771號,迎廣科技股份有限公司賴文賢,勞基法第32條第2項,延長工作時間超過法令規定,,
桃園市,20161010,20160921,105年府勞檢字1050233177號,迎廣科技股份有限公司賴文賢,勞基法第24條,延長工作時間未依規定加給工資,,
桃園市,20180108,20171120,106年府勞條字1060278529號,迎廣科技股份有限公司賴文賢,勞基法第32條第2項,延長工作時間超過法令規定,,
職業安全衛生署,20170420,20170208,勞職授字第1060200312號,迎廣科技股份有限公司,職業安全衛生設施規則第241條、固定式起重機安全檢查構造標準第45條第1項暨職業安全衛生法第6條第1項,設置之電氣機具帶電部分，勞工於作業中或通行時，有因接觸發生感電之虞，未設防止感電之護圍或絕緣被覆；固定起重機之操作用開關器標示動作方向標示脫落。,,
桃園市,20190108,20181112,107年府勞條字1070283607號,迎廣科技股份有限公司賴文賢,勞基法第32條第2項,延長工作時間超過法令規定,,
桃園市,20191008,20190805,108年府勞條字10801869951號,迎廣科技股份有限公司賴文賢,勞基法第32條第2項,延長工作時間超過法令規定,,
桃園市,20191008,20190805,108年府勞條字1080186995號,迎廣科技股份有限公司賴文賢,勞基法第24條第2項,未依規定給付休息日工作之工資,,
桃園市,20190904,20190702,府勞檢字第1080164318號,迎廣科技股份有限公司賴文賢,機械設備器具安全標準第12條之1暨職業安全衛生法第6條第1項,具有光電式安全裝置之衝剪機械，其檢出機構之光軸與台盤前端之距離，有足使身體之一部侵入之虞者，應設置防止侵入之安全圍柵或中間光軸等設施。,,
