主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
嘉義縣,20160101,20151214,府授社勞資字第10402191221號,金龍冠食品股份有限公司,勞動基準法第32條第2項,未依勞動基準法第32條第2項規定，延長勞工之工作時間連同正常工作時間，一日不得超過12小時,,
嘉義縣,20160101,20151214,府授社勞資字第1040219122號,金龍冠食品股份有限公司,勞動基準法第22條第2項,未依勞動基準法第22條第2項規定工資應全額直接給付勞工,,
嘉義縣,20161101,20161012,府授社勞資字第10501947321號,金龍冠食品股份有限公司,勞動基準法第24條,雇主使勞工延長工作時間，未依規定加給工資,,
嘉義縣,20161101,20161012,府授社勞資字第1050194732號,金龍冠食品股份有限公司,勞動基準法第22條第2項,工資未全額給付給勞工,,
職業安全衛生署,20221001,20220725,勞職授字1110204182號,金龍冠食品股份有限公司鄭香蘭,職業安全衛生設施規則第43條第1項及職業安全衛生設施規則第116條第1項第12款暨職業安全衛生法第6條第1項,雇主對於機械之原動機、轉軸、齒輪、帶輪、飛輪、傳動輪、傳動帶等有危害勞工之虞之部分，未有護罩、護圍、套胴、跨橋等設備；雇主對於勞動場所作業之車輛機械，未規定駕駛者或有關人員負責執行：堆高機於駕駛者離開其位置時，未採將貨叉等放置於地面，並將原動機熄火、制動。,,
嘉義縣,20230201,20230110,府勞資字第1120006534號,金龍冠食品股份有限公司,勞動基準法第32條第2項,未依勞動基準法第32條第2項延長之工作時間，一日不超過12小時，一個月不得超過四十六小時。,20000,
嘉義縣,20160101,20151214,府授社勞資字第10402191221號,金龍冠食品股份有限公司,勞動基準法第32條第2項,未依勞動基準法第32條第2項規定，延長勞工之工作時間連同正常工作時間，一日不得超過12小時,,
嘉義縣,20160101,20151214,府授社勞資字第1040219122號,金龍冠食品股份有限公司,勞動基準法第22條第2項,未依勞動基準法第22條第2項規定工資應全額直接給付勞工,,
嘉義縣,20161101,20161012,府授社勞資字第10501947321號,金龍冠食品股份有限公司,勞動基準法第24條,雇主使勞工延長工作時間，未依規定加給工資,,
嘉義縣,20161101,20161012,府授社勞資字第1050194732號,金龍冠食品股份有限公司,勞動基準法第22條第2項,工資未全額給付給勞工,,
職業安全衛生署,20221001,20220725,勞職授字1110204182號,金龍冠食品股份有限公司鄭香蘭,職業安全衛生設施規則第43條第1項及職業安全衛生設施規則第116條第1項第12款暨職業安全衛生法第6條第1項,雇主對於機械之原動機、轉軸、齒輪、帶輪、飛輪、傳動輪、傳動帶等有危害勞工之虞之部分，未有護罩、護圍、套胴、跨橋等設備；雇主對於勞動場所作業之車輛機械，未規定駕駛者或有關人員負責執行：堆高機於駕駛者離開其位置時，未採將貨叉等放置於地面，並將原動機熄火、制動。,,
嘉義縣,20230201,20230110,府勞資字第1120006534號,金龍冠食品股份有限公司,勞動基準法第32條第2項,未依勞動基準法第32條第2項延長之工作時間，一日不超過12小時，一個月不得超過四十六小時。,20000,
