主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
勞動部勞工保險局,20210217,20201222,保退一字第10969911125號,韓商達爾網路技術有限公司台灣分公司金準友,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,33040,
勞動部勞工保險局,20210412,20210224,保退一字第11069911025號,韓商達爾網路技術有限公司台灣分公司金準友,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,69226,
勞動部勞工保險局,20210610,20210422,保退一字第11069911045號,韓商達爾網路技術有限公司台灣分公司金準友,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,33497,
台北市,20220705,20220527,北市勞動字第11160044961號,韓商達爾網路技術有限公司金準友JUNWOOKIM,勞動基準法第30條第6項;勞動基準法第24條第1項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止;延長工作時間未依規定加給工資,40000,
勞動部勞工保險局,20230612,20230426,保退一字第11269911045號,韓商達爾網路技術有限公司台灣分公司金準友,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,59465,
勞動部勞工保險局,20231011,20230626,保退一字第11269911065號,韓商達爾網路技術有限公司台灣分公司金準友,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,200922,
勞動部勞工保險局,20231211,20230824,保退一字第11269911085號,韓商達爾網路技術有限公司台灣分公司金準友,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,205513,
勞動部勞工保險局,20231211,20231026,保退一字第11269911105號,韓商達爾網路技術有限公司台灣分公司金準友,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,111075,
勞動部勞工保險局,20240215,20231221,保退一字第11269911125號,韓商達爾網路技術有限公司台灣分公司金準友,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,42302,
勞動部勞工保險局,20240410,20240226,保退一字第11369911025號,韓商達爾網路技術有限公司台灣分公司金準友,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,46586,
勞動部勞工保險局,20240611,20240425,保退一字第11369911045號,韓商達爾網路技術有限公司台灣分公司金準友,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,27303,
勞動部勞工保險局,20240812,20240625,保退一字第11369911065號,韓商達爾網路技術有限公司台灣分公司金準友,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,81760,
勞動部勞工保險局,20241011,20240827,保退一字第11369911085號,韓商達爾網路技術有限公司台灣分公司金準友,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,38445,
勞動部勞工保險局,20241210,20241028,保退一字第11369911105號,韓商達爾網路技術有限公司台灣分公司金準友,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,53256,
