主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20170224,20161215,北市勞動字第10542827500號,香港商林馬克設計有限公司林馬克,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,,
勞動部勞工保險局,20210412,20210224,保退一字第11069911025號,香港商林馬克設計有限公司台灣分公司林馬克,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,13497,
勞動部勞工保險局,20210610,20210422,保退一字第11069911045號,香港商林馬克設計有限公司台灣分公司林馬克,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,21312,
勞動部勞工保險局,20210810,20210624,保退一字第11069911065號,香港商林馬克設計有限公司台灣分公司林馬克,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,61044,
勞動部勞工保險局,20211012,20210823,保退一字第11069911085號,香港商林馬克設計有限公司台灣分公司林馬克,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,30768,
勞動部勞工保險局,20211210,20211025,保退一字第11069911105號,香港商林馬克設計有限公司台灣分公司林馬克,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,14307,
勞動部勞工保險局,20220411,20220223,保退一字第11169911025號,香港商林馬克設計有限公司台灣分公司林馬克,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,13206,
勞動部勞工保險局,20220610,20220427,保退一字第11169911045號,香港商林馬克設計有限公司台灣分公司林馬克,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,13206,
勞動部勞工保險局,20230612,20230426,保退一字第11269911045號,香港商林馬克設計有限公司台灣分公司林馬克,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,3119,
勞動部勞工保險局,20241011,20240827,保退一字第11369911085號,香港商林馬克設計有限公司台灣分公司林馬克,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,26443,
勞動部勞工保險局,20241210,20241028,保退一字第11369911105號,香港商林馬克設計有限公司台灣分公司林馬克,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,26316,
勞動部勞工保險局,20250210,20241225,保退一字第11369911125號,香港商林馬克設計有限公司台灣分公司林馬克,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,30540,
