主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
勞動部勞工保險局,20210412,20210224,保退一字第11069911025號,香港商艾迪米斯鞋業有限公司台灣分公司林育輝,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,62661,
勞動部勞工保險局,20210610,20210422,保退一字第11069911045號,香港商艾迪米斯鞋業有限公司台灣分公司林育輝,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,56313,
勞動部勞工保險局,20210810,20210624,保退一字第11069911065號,香港商艾迪米斯鞋業有限公司台灣分公司林育輝,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,166531,
勞動部勞工保險局,20211012,20210823,保退一字第11069911085號,香港商艾迪米斯鞋業有限公司台灣分公司林育輝,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,52318,
屏東縣,20210906,20210726,屏府勞動資字第11028120700號,香港商艾迪米斯鞋業有限公司台灣分公司代表人林育輝,勞動基準法第22條第2項,工資未全額給付給勞工。,10000,
勞動部勞工保險局,20210412,20210224,保退一字第11069911025號,香港商艾迪米斯鞋業有限公司台灣分公司林育輝,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,62661,
勞動部勞工保險局,20210610,20210422,保退一字第11069911045號,香港商艾迪米斯鞋業有限公司台灣分公司林育輝,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,56313,
勞動部勞工保險局,20210810,20210624,保退一字第11069911065號,香港商艾迪米斯鞋業有限公司台灣分公司林育輝,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,166531,
勞動部勞工保險局,20211012,20210823,保退一字第11069911085號,香港商艾迪米斯鞋業有限公司台灣分公司林育輝,勞工退休金條例第19條第1項,雇主未按時繳納勞工退休金致加徵滯納金。,52318,
屏東縣,20210906,20210726,屏府勞動資字第11028120700號,香港商艾迪米斯鞋業有限公司台灣分公司代表人林育輝,勞動基準法第22條第2項,工資未全額給付給勞工。,10000,
