主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
台北市,20170126,20161121,北市勞資字第10536550300號,鶯和實業股份有限公司張秀絹,勞動基準法第56條第2項,未於每年年度終了前，估算勞工退休準備金專戶餘額並足額提撥,,
台北市,20170901,20170706,北市勞資字第10634999000號,鶯和實業股份有限公司張秀娟,勞動基準法第56條第2項,未依法足額提撥勞工退休準備金,,訴願駁回
台北市,20180903,20180704,北市勞資字第10760414972號,鶯和實業股份有限公司張秀娟,勞動基準法第56條第2項,未依法足額提撥勞工退休準備金,,
台北市,20191105,20190920,北市勞資字第10860744131號,鶯和實業股份有限公司張秀娟,勞動基準法第56條第2項,雇主應於每年年底，為次一年度預估成就退休要件勞工在次年3月底前於專戶足額提撥退休金。,,訴願駁回
新北市,20230421,20230215,新北府勞檢字第1124654152號,鶯和實業股份有限公司張秀絹,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
台北市,20170126,20161121,北市勞資字第10536550300號,鶯和實業股份有限公司張秀絹,勞動基準法第56條第2項,未於每年年度終了前，估算勞工退休準備金專戶餘額並足額提撥,,
台北市,20170901,20170706,北市勞資字第10634999000號,鶯和實業股份有限公司張秀娟,勞動基準法第56條第2項,未依法足額提撥勞工退休準備金,,訴願駁回
台北市,20180903,20180704,北市勞資字第10760414972號,鶯和實業股份有限公司張秀娟,勞動基準法第56條第2項,未依法足額提撥勞工退休準備金,,
台北市,20191105,20190920,北市勞資字第10860744131號,鶯和實業股份有限公司張秀娟,勞動基準法第56條第2項,雇主應於每年年底，為次一年度預估成就退休要件勞工在次年3月底前於專戶足額提撥退休金。,,訴願駁回
新北市,20230421,20230215,新北府勞檢字第1124654152號,鶯和實業股份有限公司張秀絹,職業安全衛生法第6條第1項,未符合規定之必要安全衛生設備及措施,,
