主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,罰鍰金額,備註說明
職業安全衛生署,20170313,20170116,勞職授字第1060200106號,龍銓土木工程有限公司,營造安全衛生設施標準第19條第1項職業安全衛生法第6條第1項,對於高度2公尺以上施工架開口部分，勞工有遭受墜落危險之虞，未設置交叉拉桿及下拉桿等防護設備。,,
職業安全衛生署,20190805,20190513,勞職授字第1080201912號,龍銓土木工程有限公司,職業安全衛生設施規則第228條、職業安全衛生設施規則第243條第1款、營造安全衛生設施標準第19條第1項、營造安全衛生設施標準第59條第1項第1款暨職業安全衛生法第6條第1項,對勞工於高差超過1.5公尺以上之場所作業時，未設置使勞工安全上下之設備；對於使用對地電壓在一百五十伏特以上移動式或攜帶式電動機具，為防止因漏電而生感電危害，未於各該電動機具之連接電路上設置適合其規格，具有高敏感度、高速型，能確實動作之防止感電用漏電斷路器；對於高度二公尺以上之屋頂、鋼樑、開口部分、階梯、樓梯、坡道、工作臺、擋土牆、擋土支撐、施工構臺、橋樑墩柱及橋樑上部結構、橋臺等場所作業，勞工有遭受墜落危險之虞者，未於該處設置護欄、護蓋或安全網等防護設備；使用國家標準CNS4750型式之施工架，未符合國家標準同等以上之規定。,,
職業安全衛生署,20200207,20191107,勞職授字第1080204739號,龍銓土木工程有限公司,營造安全衛生設施標準第11條之1營造安全衛生設施標準第19條第1項營造安全衛生設施標準第59條第4款暨職業安全衛生法第6條第1項,對於進入營繕工程工作場所作業人員，未提供適當安全帽，並使其正確戴用；對於高度二公尺以上之北側三樓樓板邊緣開口部分及北側中間、南側中間外牆施工架開口部分等場所作業，未於該處設置護欄、護蓋或安全網等防護設備；對於鋼管施工架構件之連接部分或交叉部分，未以適當之金屬附屬配件確實連接固定。,,
職業安全衛生署,20200707,20200410,勞職授字第1090201458號,龍銓土木工程有限公司,營造安全衛生設施標準第11條之1營造安全衛生設施標準第19條第1項營造安全衛生設施標準第59條第4款暨職業安全衛生法第6條第1項,對於進入營繕工程工作場所作業人員，未提供適當安全帽，並使其正確戴用；對於高度二公尺以上之施工架開口部分等場所作業，未於該處設置護欄、護蓋或安全網等防護設備；對於鋼管施工架構件之連接部分或交叉部分，未以適當之金屬附屬配件確實連接固定,,
職業安全衛生署,20200707,20200414,勞職授字第1090201513號,龍銓土木工程有限公司,營造安全衛生設施標準第5條營造安全衛生設施標準第11條之1營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項,對於工作場所暴露之鋼筋，未採取彎曲尖端、加蓋或加裝護套等防護設施；對於進入營繕工程工作場所作業人員，未提供適當安全帽，並使其正確戴用；對於高度二公尺以上之2F樓板開口部分等場所作業，未於該處設置護欄、護蓋或安全網等防護設備,,
職業安全衛生署,20210104,20201014,勞職授字第1090204468號,龍銓土木工程有限公司楊佳璋,營造安全衛生設施標準第11條之1暨職業安全衛生法第6條第1項,對於進入營繕工程工作場所作業人員，未提供適當安全帽，並使其正確戴用,,
職業安全衛生署,20170313,20170116,勞職授字第1060200106號,龍銓土木工程有限公司,營造安全衛生設施標準第19條第1項職業安全衛生法第6條第1項,對於高度2公尺以上施工架開口部分，勞工有遭受墜落危險之虞，未設置交叉拉桿及下拉桿等防護設備。,,
職業安全衛生署,20190805,20190513,勞職授字第1080201912號,龍銓土木工程有限公司,職業安全衛生設施規則第228條、職業安全衛生設施規則第243條第1款、營造安全衛生設施標準第19條第1項、營造安全衛生設施標準第59條第1項第1款暨職業安全衛生法第6條第1項,對勞工於高差超過1.5公尺以上之場所作業時，未設置使勞工安全上下之設備；對於使用對地電壓在一百五十伏特以上移動式或攜帶式電動機具，為防止因漏電而生感電危害，未於各該電動機具之連接電路上設置適合其規格，具有高敏感度、高速型，能確實動作之防止感電用漏電斷路器；對於高度二公尺以上之屋頂、鋼樑、開口部分、階梯、樓梯、坡道、工作臺、擋土牆、擋土支撐、施工構臺、橋樑墩柱及橋樑上部結構、橋臺等場所作業，勞工有遭受墜落危險之虞者，未於該處設置護欄、護蓋或安全網等防護設備；使用國家標準CNS4750型式之施工架，未符合國家標準同等以上之規定。,,
職業安全衛生署,20200207,20191107,勞職授字第1080204739號,龍銓土木工程有限公司,營造安全衛生設施標準第11條之1營造安全衛生設施標準第19條第1項營造安全衛生設施標準第59條第4款暨職業安全衛生法第6條第1項,對於進入營繕工程工作場所作業人員，未提供適當安全帽，並使其正確戴用；對於高度二公尺以上之北側三樓樓板邊緣開口部分及北側中間、南側中間外牆施工架開口部分等場所作業，未於該處設置護欄、護蓋或安全網等防護設備；對於鋼管施工架構件之連接部分或交叉部分，未以適當之金屬附屬配件確實連接固定。,,
職業安全衛生署,20200707,20200410,勞職授字第1090201458號,龍銓土木工程有限公司,營造安全衛生設施標準第11條之1營造安全衛生設施標準第19條第1項營造安全衛生設施標準第59條第4款暨職業安全衛生法第6條第1項,對於進入營繕工程工作場所作業人員，未提供適當安全帽，並使其正確戴用；對於高度二公尺以上之施工架開口部分等場所作業，未於該處設置護欄、護蓋或安全網等防護設備；對於鋼管施工架構件之連接部分或交叉部分，未以適當之金屬附屬配件確實連接固定,,
